1NO0000001	-----Case# 45602-----
1NO0002668	Olympus Mons, a volcano found on Mars, is the largest known volcano in the solar system. It is 370 miles (595 km) across and rises 15 miles (24 km). That's 3 times taller than Mount Everest!
1NO0002669	The Delta IX Rocket, commissioned by the USSA in 2020, was the last of the manned rockets that sent our brave American Astronauts to the moon. The Delta IX was in use for almost 15 years before being converted for military use and having the crew and instruments sections replaced with a nuclear warhead. The Delta IX recorded over 77 successful launches, making it one of the most successful rockets in U.S. History.
1NO0002670	The rocket, developed entirely by USSA scientists, was a single-stage vehicle with an ejectable crew section or satellite storage bay. The propulsion system was a nuclear-electric derivative drive, using a massive electrical jolt to start the nuclear reaction on launch. The crew section was protected from the radioactive chambers by way of a massive titanium-vanadium disc. The spacecraft had the capability to sustain 2 astronauts for up to 24 days maximum. The longest recorded spaceflight in a Delta IX rocket was the 17-day Zeus 12 Mission to the moon.
1NO0002671	Pulse: 0 bpm
1NO0002672	BP: 000/00 mmHg
1NO0002673	Temp: 85.0 F
1NO0002674	Respiratory Rate: 0/min
1NO0002675	***RESIDENT REQUIRES IMMEDIATE MEDICAL ATTENTION***
1NO0002676	Stress Level: No Reading
1NO0002678	Good Ole' Craggy, King of Rockopolis.
1NO0002679	He offered Argyle and me shelter back in the summer of '48. Unfortunately, there was a little incident with his daughter, and we were exiled.
1NO0002680	We sought shelter again a couple years later, but Craggy didn't take to kindly to us luring the Slavers into his hidden underground city.
1NO0002681	That was the last time I ever saw Argyle -- right after he saved my hide for the hundredth time.
1NO0002682	Miss Penelope Chase -- Two-timing bitch. She got what she deserved.
1NO0002683	My dearest Destiny.
1NO0002684	Harlot par excellence and the proprietor of the Blue Destiny Brothel. One of the loveliest women I've ever had the pleasure to pleasure.
1NO0002685	Sadly, she died from cholera in the summer of '49 (an event that closed down the brothel forever).
1NO0002686	The best manservant a guy could ask for.
1NO0002687	Tough, loyal, and a hell of a good friend (even if he did smell like a bag of rotten meat, but what's a Ghoul gonna do?).
1NO0002688	The last time I saw Argyle was in Rockopolis, decades ago. I know he's still out there... somewhere.
1NO0002689	Slaver leader and psychotic cannibal, circa 2250. See entry on Paradise Falls.
1NO0002690	The most dangerous dump in the Capital Wasteland.
1NO0002691	The Slavers there would have bought and sold anything with a pulse. They still will, from what I hear.
1NO0002692	Back in my day, they were more disorganized, though. Their leader was a guy named Harmon Jurley, a psychotic son of a bitch who was rumored to eat the slaves he couldn't sell.
1NO0002693	An underground city.
1NO0002694	Not a bad a accomplishment, all things considered, but their leader, King Crag, became too isolationist for his own good.
1NO0002695	Okay, so I accidentally led the Slavers there and those bastards cleaned the place out. It was an honest mistake.
1NO0002696	The best damn whorehouse in the Capital Wasteland. Strong booze and soft women. It shut down in the summer of '49 when most of the ladies died from a cholera outbreak.
1NO0002697	A city of the dead. Or undead, as some would believe.
1NO0002698	Underworld was, and is, a settlement of Ghouls, established in an old art exhibit in the Museum of American History.
1NO0002699	Argyle and I used to go there quite a bit. I was even voted "Honorary Ghoul" back in '51. I really should go back and visit sometime.
1NO0002700	A town built around an undetonated atomic bomb. My kind of place!
1NO0002701	Megaton is pretty well fortified now, but back in my day it was even more ramshackle. Great place to grab a drink or a broad.
1NO0002702	I hear Moriarty even has his own place now. Guess that shouldn't surprise me. That guy had been playing the angles since the day he ended up in this country, as a kid.
1NO0002703	Goddamn walking crabs.
1NO0002704	Tough to kill, but pretty delicious afterwards. The outer carapace is hell to penetrate, though. Good thing their face isn't armored (and Argyle had such a good right jab).
1NO0002705	Ghouls gone bad. Their brains had rotted through so much, they lost the ability to think straight.
1NO0002706	Argyle and I fought these hapless zombie bastards more times than I can count.
1NO0002707	I think he actually liked killing them -- saw it as some sort of revenge against God for his own situation, or something.
1NO0002708	I've been a lot of places in my day, and everywhere you'd find those damned Radscorpions.
1NO0002709	Rumor was they'd descended from Emperor Scorpions, which you could find in pretty much any pet store in the country when bombs fell. I guess that explains their population.
1NO0002710	Bears, or the Capital Wasteland's equivalent, anyway.
1NO0002711	You're not going to find one of these babies balancing on a big rubber ball, though, I can tell you that much. They're are vicious as they come -- razor sharp claws, razor sharp teeth. Nasty, nasty temperament.
1NO0002712	I have to admit, I've always been fascinated by these things.
1NO0002713	Such an ingenious creation -- a robot powered by a brain, and a sexy dame's voice. Of course, I always had to wonder. Were they human brains? Were they actually the brains of sexy dames?? Or is it all monkey brains and recordings?
1NO0002714	Anyway, I got hit by one of their mind blasts once. Hell of a headache for three days.
1NO0002718	****ERROR****[CRLF]A network connection could not be found.
1NO0002719	A network connection could not be found.
1NO0002720	The password to the Door Terminal is "enwozzirb."
1NO0002721	Beloved,
1NO0002722	I must beg your indulgence a little while longer. I am not yet able to send for you. Stay in Megaton. Once my business has concluded, I will send for you, and we will live happily as man and woman.
1NO0002723	The memory of your  beauty and sweet aroma lingers in my memory...
1NO0002724	Have patience my love.
1NO0002725	Soon. Soon we shall be together once again!
1NO0002726	Your's very truly,
1NO0002727	Burke
1NO0002729	The pain of your absence is at times crippling. But I must persevere. I must! It is very important work I am doing for mankind.
1NO0002730	Oh, but I wish I could sweep it all away to be with you now!
1NO0002731	Be patient love. I will send for you soon
1NO0002735	The pain of our separation is unbearable. I miss you terribly.
1NO0002736	I cherish the memory of our brief time together.
1NO0002737	Send me a letter, won't you? Send it to Tenpenny Tower. They'll be sure to get it to me.
1NO0002738	Oh, be patient a little while longer, my little song bird. Soon we will be free of our cages, and our love will soar to the heavens above!
1NO0002741	I can not live like this. Wanting you. NEEDING you! But unable to have you.
1NO0002742	I'm afraid I must insist we cease this charade.
1NO0002743	I beg your forgiveness. I'm sorry to have made you wait in that hell-hole for so long. Waiting for the summons to my side that never came.
1NO0002744	Fly free my little love bird. Fly up and out of that filth.
1NO0002745	I wish that I could have you, and the thought of another man getting to have you, breaks my heart.
1NO0002746	But I'd rather you were set free, than waiting eternally for me. I'm growing tired of this burden of mine. This toiling away for humanity, building a new world for mankind. I'm not even sure they will appreciate all the efforts I am making for them. But it is a burden I shall continue to carry, because someone must. And I am a man of responsibility,
1NO0002747	Good luck my love-bird. Fly free and be happy!
1NO0002748	Your's truly,
1NO0002750	Note To Self:
1NO0002751	Sit back and enjoy the ride.  Why worry? This place seems great.  It's time we kick back, relax and forget about the desolate, hopeless, bleak and blasted wasteland outside.  Have we enjoyed a frosty Nuka-Cola yet today?  Well, we ought to fix that.
1NO0002752	To Vault Security:
1NO0002753	If any of our residents notice any unusual odor or faint taste to the air, please assure them that everything is okay.  There was a slight irregularity in our filtration system but nothing to cause alarm; the systems have already been corrected and are 100% functional again.  If you notice anyone acting out in a strange manner, please report the disturbance immediately so medical assistance can be sent.
1NO0002755	Journal Entry: E6/24/3
1NO0002756	For some reason today the air is different   I cant quite place it, but the air tastes a little  blue I guess?  As weird as that sounds, the air tastes blue  blue like my suit.  That kind of rhymes.  Weird.  Weird beard.  Heh.
1NO0002757	I always wanted to be a beatnik, but the pants were too tight.
1NO0002758	I have nothing more to say to you, we're through here.
1NO0002759	Seriously, this place has everything we need, enjoy it while we're here.
1NO0002760	Come on, don't you like it better here?
1NO0002761	Breathe deep in the blue.
1NO0002763	This place is great, I think its time to accept the new and embrace this change.
1NO0002765	The ventilation system has been checked and the required security and medical protocols have been initiated as per instruction in preparation for release of the Control:
1NO0002766	The following systems have been brought online:
1NO0002767	V-Shaft 00209
1NO0002768	V-Shaft 00437
1NO0002769	V-Shaft 00518
1NO0002770	V-Shaft 00518-C
1NO0002771	The following systems have been disconnected:
1NO0002772	V-Shaft 00014 A-D
1NO0002773	V-Shaft 00083 A-D
1NO0002774	The following security precautions have also been completed:
1NO0002775	Security Protocol 51:46-A
1NO0002776	Camera Protocol 52:Overseer
1NO0002777	Medical Protocol 98:MedAlert
1NO0002778	I have overseen all preliminary tests and can assuredly say we are ready and prepared for the worst.
1NO0002779	Scribbledy bibbledy hoodelly hoo.
1NO0002780	Wing wang bricka bang choo choo choo.
1NO0002781	Upsideup popsicle tastes like blue
1NO0002782	Ghosts in the hall go boo boo boo!
1NO0002783	Oh man.  I just had to get my thoughts on paper man, otherwise the cat in my head forgets, man.  The sky is as blue as it used to be, im so happy to be here and my roomies are flailing around in the love mist.  I cant remember what I was doing before but man is it great here now.  I never thought about it like this before, but the walls just need somebody to love, too, man.
1NO0002784	I don't know what happened, all of a sudden everyone just started acting strange.  The Overseer told us to lock ourselves into our room and wait until security gets the riff raff under control so that's what im doing.  I managed to catch the security chief on his way past and apparently the weirdos are so out of their head they can't read, so if you're not affected say the word 'Fanzini' and I'll let you in.
1NO0002785	To Vault Security Clearance B
1NO0002786	Vault Security Clearance C
1NO0002787	Today at 15:30 we are initiating Control Sequence 46-2A.
1NO0002788	We are unsure of the full effects of the gas release so we request that anyone receiving this message head to their designated locations as noted in your C11 Form.  The assigned locations were chosen for the cover and safety they provide so do not vacate them unless dire circumstances arise.  Remember to handle anyone acting abnormally according to the guidelines provided and most importantly: Immediately call for medical assistance.
1NO0002789	We thank you for your assistance during this brief test and assure you that the Control is non-lethal and will be cleared from the air before 16:00.
1NO0002791	Mycological Characteristics:
1NO0002792	Kingdom= Fungi
1NO0002793	Phylum= Basidiomycota
1NO0002794	Genus= Ustilago
1NO0002795	Species=  U. Noslen
1NO0002796	Hymenium Type= None
1NO0002797	Cap Shape= Convex
1NO0002798	Spore Color= Hyper Blue
1NO0002799	Ecological Type= Mycorrhizal
1NO0002800	Description:
1NO0002801	The U. Noslen seems to produce a compound that when exposed to the conditions of the cave are able to shield it from harmful radiation.  The rate at which the fungus degrades the stone appears to be slowed.  Study shows that the U. Noslen reproduces by dispersing small amounts of diaspores.  Due to the lack of wind sources, the fungus is usually clusters but occasionally is able to fan out to other surfaces.
1NO0002802	Habitat/Ecology:
1NO0002803	Early speculation is that the U. Noslen's above average poikilohydric characteristics allow it to survive within these caves.  Unlike similar species, when dehydrated the plant will release a toxic set of spores and die instead of entering the assumed cryptobiotic state.
1NO0002804	As a result of a generous donation from the Arlington Dental Foundation, the Arlington READS! Literacy Program will be experiencing exciting new changes.
1NO0002805	Beginning immediately, the program will change from:
1NO0002806	Reading
1NO0002807	Education
1NO0002808	And
1NO0002809	Development
1NO0002811	To the following, more holistic and hygienic program:
1NO0002815	Dental
1NO0002816	Supplies
1NO0002817	So remember to keep your mind sharp and your teeth clean!
1NO0002819	Congratulations on your transferal to the position of ROBOT PROTOCOL OPERATOR! Your trusted co-workers will be the standard Protectron models stationed throughout the facility.
1NO0002820	"Basic Operation" covers the day-to-day functionality of your co-workers, as described in detail in your training manual.
1NO0002821	"Pest Extermination" encourages your co-workers to track and sanitize any roaches, rodents, or other undesired pests on the premises.
1NO0002822	"Total Liquidation" removes your co-workers' humanoid safety protocols, and is for use only in the unlikely event of criminal intrusion or communist attack.
1NO0002823	"Robot Shutdown" allows you to temporarily retire your co-workers for their regular maintenance, or in the case of accidental Liquidation commands.
1NO0002824	We trust you'll find the work simple, rewarding, and extremely safe! Enjoy!
1NO0002825	Brainstorm Military/Cultural Center
1NO0002826	2076 Progress Report
1NO0002827	Our flagship project, the Induced Patriotism Initiative, has met with resounding success. Our agents have successfully included covert and overt messages of extreme patriotism and loyalty into popular media ranging from the big screen to the Sunday funnies. Increased military enrollment amongst target demographics serves to underline this success.
1NO0002828	Agent Webb has been particularly effective at influencing the music industry, and he has interesting proposals for the fields of organized sports and even such notoriously difficult markets as comic books and toys.
1NO0002829	A success in these areas would ensure early education with our message, and thus ensure a more dedicated and devoted nation for us all.
1NO0002830	CODENAME: CLOACINA
1NO0002831	Development Report
1NO0002832	Development of the Mutant Undermining Lifeform continues apace, and our chief bio-engineers are certain that they will be able to perfect these living weapons in time for deployment into Red China.
1NO0002833	Once covertly released into an enemy's environment, their aggressive qualities, dangerous hunger, and pervasive breeding should severely undermine the infrastructure of the location in short order, softening the target for ground invasion. At this point, the genetic kill-switch can be activated, allowing for easy reclamation -- not including a significant, one-time clean up effort.
1NO0002834	Current MUL development primarily uses genetic stock of rodents, particularly the common sewer rat, and progress has been significant. FEV testing has been rejected, however, as the results are sterile.
1NO0002835	Here are the results of the latest robot diagnostic:
1NO0002838	Internal Processors -- 46%
1NO0002839	Weapons Systems -- 45%
1NO0002840	Power Management -- 37%
1NO0002842	Scribe Rothchild is confident that by redistributing power from the Weapons and Mobility subsystems, we'll be able to bring Power Management up to at least 67% -- enough to successfully carry out a full activation sequence.
1NO0002846	Internal Processors -- 12%
1NO0002847	Weapons Systems -- 13%
1NO0002848	Power Management -- 1%
1NO0002850	It has been determined that the recent feedback spike, which resulted in overall system degradation, was in fact caused by the installation of the new power capacitor, as Scribe Rothchild suspected.
1NO0002851	Until further notice, Scribes are ordered to cease any and all experiments that involve the re-routing of power from any of the robot's sub-systems.
1NO0002852	Another day, another setback.
1NO0002853	We had tried, of course, re-routing power from Weapons to the robot's other sub-systems several times. Each attempt ended in failure, thanks to the robot's overly aggressive combat subroutines. It's almost as if there's some hidden pocket of AI that keeps pushing against us, refusing to let anyone drain power from the weapons systems.
1NO0002854	I guess that shouldn't surprise me, considering why he was constructed in the first place.
1NO0002855	That's why I began work on the Neural Dampener in the first place. I was convinced I could "trick" the robot into thinking I had actually re-distributed the power from some other sub-system. But the damned thing proved smarter than that. Certainly smarter than me.
1NO0002856	All I managed to do was fry some of his circuitry (again) and set us back another three months.
1NO0002857	I'm tired of trying to re-route power like some kind of snot-nosed Initiate.
1NO0002858	I don't care what kind of drain it puts on the Scribes' ability to research and maintain the weapons and armor -- I'm proceeding with the AVF experiments.
1NO0002859	If I can successfully create an Accelerated Vector Fusion module (similar to the technology I saw Doctor Li working with all those years ago), we'll have our first real chance of getting the robot fully operational.
1NO0002860	Maybe then the Western Elders will realize our worth.
1NO0002861	Unfortunately, the Accelerated Vector Fusion (AVF) experiments haven't gone as planned.
1NO0002862	Bowditch suffered 2nd degree burns, and at one point we accidentally channeled so much power to the robot's head laser, it discharged and nearly killed Elder Lyons.
1NO0002863	He was not pleased.
1NO0002864	General Chase,
1NO0002865	I'm sorry, but you're being completely unrealistic. There is simply no way the robot will be combat ready in three months.
1NO0002866	The chassis is complete, all weapons systems are online, and the voice module has been programmed as requested. But power consumption is still our primary concern, and neither doctors Honeywell nor Park have yet found an acceptable solution.
1NO0002867	We had hoped to sub-contract Vault-Tec, and utilize the talents of Doctor Braun. But apparently he's gone into seclusion, working on one of their own projects, and they couldn't reach him at this point if they wanted to. So that's out.
1NO0002868	I'll give it to you straight, General -- this is the biggest robot the world has ever seen, and we just haven't been able to find a power source small enough, and powerful enough, to get the damn thing running with all its systems online.
1NO0002869	In three months we might be able to guarantee the robot can walk into downtown Anchorage, but all of his weapons systems will be OFFLINE.
1NO0002870	Maybe he can just step on the Red Chinese?
1NO0002871	Doctor Stanley Bloomfeld
1NO0002872	Project Lead
1NO0002873	Classified Eyes Only
1NO0002874	Military Contract 38917: Codename "Liberty Prime"
1NO0002875	Project Goal: No less than the creation of the most powerful combat robot the battlefield has ever seen, with the express goal of liberating occupied Anchorage, Alaska from its Chinese aggressors.
1NO0002876	Summary: The United States Army has succeeded in contracting both RobCo and General Atomics International to work on their first joint project.
1NO0002877	The robot they create, Liberty Prime, will be the very embodiment of American military might -- a walking, talking, nuke-tossing hero who will remind the world what it means to be a super power.
1NO0002878	I am fully confident that the presence of Liberty Prime at the Anchorage Front line will be to the Chinese what the Hiroshima bomb was to the Japanese in 1945.
1NO0002882	What American child alive hasn't heard the story of the Pint-Sized Slasher, that diminutive demon in a clown mask who stalks and slashes the innocent residents of supposedly safe suburbia? It's just one of the many folk stories parents use to scare their youngsters into behaving themselves. Or is it?
1NO0002883	According to Germantown police chief Joseph Field, the Pint-Sized Slasher may be more real than many people would like to admit. "After reviewing the autopsy results of the Linden Street slayings, we have confirmed that the force and direction of every knife wound are consistent with an attack from a much smaller assailant. A child, to be precise."
1NO0002884	Add to the sinister forensic findings this statement from Christopher Atkinson, the one surviving victim of the adolescent assassin, and it becomes clear that the Pint-Sized Slasher does indeed walk among us: "The clown! The clown! He's going to kill us all, do you understand me? He stabbed my brother Shaun right in the face! He killed my brother! The little clown!"
1NO0002885	But assuming the Pint-Sized Slasher is indeed a real, tangible threat to the peace loving residents of D.C. suburbia, one question remains: why? What could possible motivate a child to don a clown mask and murder innocent people in cold blood? We may never know. At least not until the miniature maniac is brought to justice. Until then, all we can do is lock our doors, kiss our children goodnight  and pray they live to see morning.
1NO0002887	Internal Memorandum
1NO0002888	Due to the increased awareness of our upcoming project milestone, you and your fellow employees may be required to initiate Emergency Defensive Procedures, as outlined in the Employee Handbook.  If required, please review policies #H31, #L04, #L05, #P55, #T01.
1NO0002889	Your continued adherence to company policy is appreciated.
1NO0002890	Password: MB3K-OMFG
1NO0002892	Where Did I Go Wrong?
1NO0002894	Batch A27 is a complete failure. I must return to my original formulas and begin the process all over again. Perhaps the pressure of working in these conditions without proper laboratory equipment is to blame, perhaps I simply didn't splice the correct genetic instructions or perhaps I am fatigued. Whatever the case may be, A27 is proving to be a disaster. I must introduce a new formula soon or I may not be alive to see my hypothesis come to fruition.
1NO0002895	Sample Location Discovered!  =================  I've found the perfect specimen for my experiments inside Marigold Station! I've set up shop underground for now while I prepare the experiment. All I need is a bit of last-minute programming on my robot and it will be ready to perform the delicate injections. Soon I will prove to everyone that my formula is a viable alternative to the destruction of these misunderstood beings.
1NO0002896	Sample Location Discovered!
1NO0002897	I've found the perfect specimen for my experiments inside Marigold Station! I've set up shop underground for now while I prepare the experiment. All I need is a bit of last-minute programming on my robot and it will be ready to perform the delicate injections. Soon I will prove to everyone that my formula is a viable alternative to the destruction of these misunderstood beings.
1NO0002898	Dangers
1NO0002900	I realize the dangers involved in tampering with nature. I've heard the rhetoric and the hoopla about "playing God". However, I am determined to reduce these poor things back to their original state when they were harmless. Only through genetic recoding is this possible. All that is needed is a proper test subject. My search continues as I tweak the formula.
1NO0002901	The map shows directions to Rock Creek Caverns, with the notation: "Mirelurk King's Treasure Chamber!"
1NO0002902	The password is Applesauce.
1NO0002903	Zimmer, who is currently at Rivet City is searching for an android. He believes the android may have had facial reconstruction surgery and a memory wipe.
1NO0002905	87
1NO0002907	May 2066
1NO0002909	December 2071
1NO0002911	<redacted>
1NO0002915	Cyberbrain v2.3
1NO0002919	Versicorps Fusion Power
1NO0002920	Non-Standard Equipment...
1NO0002921	Stasis Chamber (4)
1NO0002922	Plasma Containment Field (3)
1NO0002923	G.E.C.K. (1)
1NO0002924	Food Processing Station (6)
1NO0002925	###########
1NO0002926	UNEXPECTED END OF FILE
1NO0002927	DATA CORRUPTION DETECTED
1NO0002928	Dear Consumer:
1NO0002929	Thank you for your participation in the exciting Shocker Glove pilot program.  You're receiving a prototype FSGv118-b model of the Shocker Glove.  Please reference this prototype number in any future correspondence.  We encourage you to make this prototype a part of your daily life, and look forward to your valuable feedback.
1NO0002930	Thanks from all of us at the Shocker Glove R&D Team!
1NO0002931	PS: Shocker Glove prototypes are not for use in water, public, near small children or domesticated animals.  This is not a kitchen appliance and should not be used near uncooked food.  Use of Shocker Glove prototype constitutes a binding agreement to hold manufacturer harmless for any and all legal purposes.  During prolonged use, severe electrical burns may occur.  Do not look directly at Shocker Glove while operating.  Some prototype models have proven sensitive to certain radio frequencies during use.  If you suspect radio interference, please submit a malfunction report listing FCC broadcast frequencies in operation at the time, and report to nearest emergency medical facility in your area.
1NO0002932	MP-47/A Medic Power Armor
1NO0002933	Security Clearance G required to read this manual.
1NO0002934	Currently in prototype, the MP-47/A Medic Power Armor, referred to as Medic Armor hereafter, is designed to protect the soldier in the field and serve as an automated medic. The prototype unit only has Med-X delivery systems. The production unit will include Stimpaks and other injectables.
1NO0002935	User requirements for Medic Armor stated that "even a child" should be able to use it without reading this manual. Therefore an onboard computer system with verbal feedback response systems has been installed. The soldier in the field puts on the armor, and the armor does the rest. It automatically senses the limb condition of the soldier and applies Med-X only if needed.
1NO0002936	If the defense contract is extended, the onboard computer system will be enhanced to provide command level data to field officers. A special self-destruct will deliver a lethal injection to deserters. Until the contract is extended, these systems remain offline.
1NO1000001	Entry 0540
1NO1000002	Sim back up and running after another few days of changes. Chase is running everyone ragged, making tweaks here and there.
1NO1000003	The sim is, without any shadow of a doubt, divorced from reality. I've never seen the classified military reports, but some of the stuff Chase has added to the sim? There's no way it happened like that.
1NO1000004	Version 7-36-099 was scrapped after Chase decided his face didn't look just right. I realize progress reports aren't the place for this, but there are concerns that the man is losing it. No one confronts him because everyone is scared. After West-Tek dropped off the grid, there were lots of rumors about the military commandeering private contractors, and no one wants to give Chase a reason to do that here. But really, what's the point in running this sim over and over and over? Any tactical data was mined months ago.
1NO1000005	Entry 0527
1NO1000006	Sim version 7-36-081 was scrapped last week after Chase ran through it himself. Said it didn't "feel right." It was eventually determined he was referring to hardware issues, not anything to do with the software.
1NO1000007	Techs have been making modifications on the chair, but some ongoing issues remain problematic. Requests to administration to provide detailed schematics and hardware history have been neglected. Questions about the particular external interface requirements remain unanswered. Techs will attempt to compensate.
1NO1000008	...//Begin Transcription//...
1NO1000009	34UJCNM requisition papers have been submitted for anti-air surveillance and defense systems.  To make security of Eastern cliffs, I have submitted papers third time to field command.  39KJKLm18*(.
1NO1000010	Making all due respect, honorable Dragoons mission that took *CH3 facility in our 2AN3! attacks made use of Eastern cliffs.  KJ(*D12..++ DFK989KK.  Leaving this non-defensible is dangerous, as American attackers could make same use of Eastern cliffs.  Further patrols are posted, but we outpost remain vulnerable to airborne drop tactics.  3KLJDR8-tek systems of surveillance and defense can help ensure against such vulnerable (state of being).
1NO1000011	398KDI consider this request, sir.  Re9*k of Chinese Republic.
1NO1000012	...//End Transcription//...
1NO1000013	1.1a: Cooperative Action w/regional NORAD site
1NO1000014	In the event of NORAD deployment or training exercises from Fire Island AFS, personnel will be called upon to enact Cooperative protocol routines as dictated by joint-operations Commanding Officer installed at Elemndorf AFB.
1NO1000015	The primary function of long-range artillery in the event of a inter-continental ballistic strike is to provide localized fire support against hostile targets on potential intercept courses.
1NO1000016	In a live-fire deployment situation, Executive Branch compliance is implied, and the AFS Commanding Officer has authorization to fire upon civilian transports refusing to provide ample identification upon first contact.
1NO1000017	1.1b: Diversionary tactics in Martial Evacuation
1NO1000018	In the event of a military evacuation of the City of Anchorage, Overlook AFS personnel may be called upon to discharge flares.  Primary flare function will be to relay short-wave radio messages in the event of wide-scale comm failure.
1NO1000019	Flares may be used to simulate hostile exchanges only under direct order of Elemndorf AFB Commanding Officer.
1NO1000020	1.1c: Atmospheric Counter-Espionage Action
1NO1000021	In compliance with Legislative Act 21-0 of 2072, Overlook AFS has been supplied with atmospheric scatter payloads.
1NO1000022	This payload is primed and loaded identically to regular ballistic ammunition, but must be fired in strict accordance with directives provided by the ranking Intel Officer.
1NO1000024	Bulletin to *7% Noble Chinese Commandants and (Soldier-Warriors).
1NO1000025	High Command has *&$Jk9 deployment of automated spider drones MkVI prototypes. Drone HX2398# /ia parachute drop 54H#*L not be disturbed, units will self-implement upon touchdown in battlefield. Please advise personnel that 8JV73^ drones are configured aggression 8*73 towards American aggressors, all  exercise caution and keep minimal {_} passage through contested areas 3487J* drones are deployed.
1NO1000028	Wire relay reports 7*.J overseas intelligence unit MD-Cap29 detail American project {} headquarters Pentagon  codename of "Liberty Prime". American (espionage-villains) appear to be delivered of Wave/Field laser technology from Noble Republic of Chinese Ministry of 8347*#1// Science. Reports inconclusive to *#j78C8d if American project has (*#3948kj replicated Wave/Field laser weapon.
1NO1000029	[**87#h-h] reports suggest locomotion frame non-typical. Suggest(*9_ develop (betray-contacts) w(th)n civilian contract firms. Possible cooperations with West-Tek, Gen. Atomics 7c&778, Robco. HJ-87&* elevate term "Liberty Prime" to  alpha on intelligence watch-listing.
1NO1000032	Extreme priority report to Chinese High Command (05) venerable. Previous intelligence 87#^% proven false. American Power Armor *&#jKkk-{} designation "T-51b" deployed imminently @#642 of schedule. Operational capacity  "T-51b" unknown. Please cross-reference 4*(-D87 and advise.
1NO1000033	Recommend rapid 89@49@%8 of pulse defense technology, under assumption of {-91-} fault // early made prototype of new "T-51b" threat. Further recommend analysis of battlefield 8*K#8738* in preparation for 98@J_(8*# arrival of threat.
1NO1000035	Military Service #54-05C-9301
1NO1000036	Clearance Level Gamma
1NO1000037	Begin Transmission
1NO1000038	Be advised, Chinese field operations in occupied Anchorage in state of flux. Primary field command post appears to have moved from Elemndorf AFB to civilian refinery site, effecting a southward shift in forward line of engagement. Intercepted radio communications suggest failure of Operation Red Harvest and capture of USMC personnel. Continued artillery barrage from Chugach Overlook suggests veracity of this intelligence.
1NO1000039	High importance, be advised. Eyewitness account of Dragoon units outfitted in previously-unknown infantry armor. This armor appears to be a more recent prototype of the same HG stealth armor captured from enemy infiltrators at the Hoover Sabotage. Presence of Dragoon units suggest that General Jingwei may already have relocated to Anchorage. Stand by for confirmation of report.
1NO1000040	5.12.2076,1801hr:
1NO1000041	Logon Attempt: FAILURE
1NO1000042	5.12.2076,1802hr:
1NO1000045	Logon Attempt: FAILURE/LOCKOUT 8hr
1NO1000046	5.13.2076,0625hr:
1NO1000047	Logon Attempt: SUCCESS
1NO1000049	Mainframe Access 12Hx31Bx33I
1NO1000050	5.13.2076,0712hr:
1NO1000051	Mainframe Access 18Ux77Mx91J
1NO1000053	Mainframe Access /.
1NO1000054	5.13.2076,0744hr:
1NO1000055	Mainframe Modify
1NO1000056	5.13.2076,0745hr:
1NO1000057	User.setAdmin PowerRoutine
1NO1000059	User.setAdmin PowerRoutine.security
1NO1000060	5.13.2076,0802hr:
1NO1000061	ERROR/TIMEOUT: "Please Check Power couplings"
1NO1000062	5.13.2076,0814hr:
1NO1000063	Incoming Notice All_Users>=Admin_Authorization
1NO1000064	5.13.2076,0816hr:
1NO1000065	"Unknown Access: PowerRoutine.Admin.64.122.455.0"
1NO1000066	Close Assault Loadout Package
1NO1000067	1x Power Fist
1NO1000068	1x 10mm Pistol
1NO1000069	1x Combat Shotgun
1NO1000070	8x Frag Grenade
1NO1000071	8x Frag Mine
1NO1000072	Fire Team Loadout Package
1NO1000073	1x Assault Rifle
1NO1000074	1x Combat Knife
1NO1000075	12x Frag Grenade
1NO1000076	Heavy Weapons Loadout Package
1NO1000077	1x Missile Launcher
1NO1000078	1x 10mm Submachinegun
1NO1000079	Sniper Loadout Package
1NO1000080	1x Sniper Rifle
1NO1000086	A state of the art advance in the field of stealth combat and trench warfare!
1NO1000087	Unit Type: IFS01 Infantryman
1NO1000088	Armaments: Assault Rifle, Trench Knife
1NO1000089	Armor: Winterized Combat Armor
1NO1000090	Equipment: Emergency Kit, Stimpaks, Med-X
1NO1000091	Unit Type: IFS02 Infantry Grenadier
1NO1000092	Armaments: 10mm Submachine Gun, Fragmentation Grenades, Pulse Grenades
1NO1000095	Unit Type: IFS03 Infantry Missile Unit
1NO1000096	Armaments: Missile Launcher, Missile Rounds, 10mm Combat Pistol
1NO1000099	Unit Type: IFS04 Sniper
1NO1000100	Armaments: Sniper Rifle, Trench Knife
1NO1000103	Unit Type: IFSR01 Mister Gutsy
1NO1000104	Mechanized Unit Type: Winterized Mister Gutsy
1NO1000105	Armaments: Standard Flamer, Standard Plasma Emitter Cannon
1NO1000106	Unit Type: IFSR02 Sentry Bot
1NO1000107	Mechanized Unit Type: Winterized Sentry Bot
1NO1000108	Armaments: Standard Minigun, Standard Missile Launcher
1NO2000001	M.-
1NO2000002	Secured a site for the bundle. Have it sent to the shack below the blast furnace in steelyard. Door will be cleared when the fighting starts, and marked with a bright blue light to keep out trogs.
1NO2000003	Ashur and his family will get what's coming to them.
1NO2000004	-W.
1NO2000005	The steel mill's ammo press is key to the military might of The Pitt, as it allows the user to repurpose simple ammunition to more convenient calibers. All soldiers, traders, and raiders in the Pitt are expected to be familiar with its use.
