0ME0000001	You quickly find a manilla folder with Pacer's name on it in the drawer marked "N-R".
0ME2000144	You have lost Joshua Graham's Way of the Canaanite perk.
0ME2000153	Mountain Bighorners Killed 1/9
0ME2000155	Mountain Bighorners Killed 2/9
0ME2000157	Mountain Bighorners Killed 3/9
0ME2000159	Mountain Bighorners Killed 4/9
0ME2000161	Mountain Bighorners Killed 5/9
0ME2000163	Mountain Bighorners Killed 6/9
0ME2000165	Mountain Bighorners Killed 7/9
0ME2000167	The Mountain Bighorner Calf is scared, feed it a Banana Yucca Fruit?
0ME2000171	Mountain Bighorners Killed 8/9
0ME2000173	Mountain Bighorners Killed 9/9
0ME2000175	You need to travel with the Happy Trails Caravan on your first journey to Zion Valley.
0ME2000177	You need some mining explosives to arm this bomb.
0ME2000179	If you don't have the parts or the skills to make repairs in the field, you can take the medical kit to a workbench and fix it there.
0ME2000181	You cannot use the campfire while in combat.
0ME2000183	You must be outside the cave to safely detonate the mining explosives.
0ME2000185	Follows-Chalk has died.
0ME2000187	Waking Cloud has died.
0ME2000189	This medical supply kit is mostly intact, but several of the sterile bandages have been broken open and the disinfectant bottle is leaking.
0ME2000191	This compass is broken.
0ME2000193	You've killed a member of the Happy Trails Caravan! Without their maps and mountaineering expertise, you'll never make it to Zion!
0ME2000194	(Becoming an enemy of the Happy Trails caravan has rendered the Honest Hearts DLC inacessible. Please reload your last save if you wish to play Honest Hearts.)
0ME2000196	You found the key to the White Legs' prison!
0ME2000198	Waiting will cause you to miss important events - your mission will fail.
0ME2000200	Black Coffee cup broke
0ME2000202	This snowglobe has been added to the collection at the Lucky 38.
0ME2000204	Daniel has given you some Pre-War mining explosives and a special detonator for them. They aren't useful as weapons, but could be used to collapse certain caves, if that proves necessary in your exploration.
0ME2000206	Daniel has given you a detonator that is set to detonate the C4 placed above the mouth of the Pine Creek Tunnel. Firing this detonator will collapse the passage and prevent any White Legs from following Daniel and the Sorrows out of Zion.
0ME2000208	Whether you decide whether the Sorrows should fight or flee, your decision will set their destiny irrevocably in motion. You will be unable to finish any remaining quests in Zion once you make your decision, so choose wisely.
0ME3000001	You are now completely healthy.
0ME3000003	Atomic! Perk energized by radiation.
0ME3000005	Leaving radiation Atomic! Perk weakened.
0ME3000007	Implant GRX depleted until 2400 hours
0ME3000009	You have obtained the Aural Stealth Suit! Not only can it be upgraded through testing in X-13, it also has Med-X and Stimpak reserves for all your pain-dampening needs! (Med-X and Stimpaks not included.)
0ME3000011	Place Sonic Emitter on soundwave transducer for recalibration.
0ME3000014	"The Opera Singer"
0ME3000015	"Gabriel's Bark"
0ME3000016	"Revelation"
0ME3000017	"Robo-Scorpion"
0ME3000018	"Tarantula"
0ME3000019	This ancient Nuka-Cola machine has been modified to accept bottlecaps as payment. It seems to be automatically restocked every few days.
0ME3000022	Nuka-Cola: 20 caps.
0ME3000023	Nuka-Cola Quantum: 30 caps.
0ME3000024	Nuka-Cola Quartz: 40 caps.
0ME3000025	Nuka-Cola Victory: 75 caps.
0ME3000026	You don't have enough caps to buy that item.
0ME3000028	A strange feeling of pacifism comes over you, and you find you cannot draw your weapon for some reason.
0ME3000030	The device won't function while you're still in combat.
0ME3000032	The device won't function while you're in an interior.
0ME3000034	Are you sure you wish to teleport to The Sink?
0ME3000036	Never mind. Stay where I am.
0ME3000037	Take me to The Sink.
0ME3000038	Are you sure you wish to teleport to the Mojave?
0ME3000041	Take me to the Mojave.
0ME3000042	The device only works when you're in the exteriors of the Mojave Wasteland or Big MT. Certain locations in the Mojave will still prevent teleportation, however.
0ME3000044	You must dismiss any followers before the teleporter device will function.
0ME3000046	The Barber module of the Auto-Doc is currently missing and must be requisitioned.
0ME3000050	The Cosmetic Surgery module of the Auto-Doc is currently missing and must be requisitioned.
0ME3000052	You feel strangely heavier. A quick inspection of your body reveals faint surgical scars around your head, chest, and back...
0ME3000054	You have successfully hacked the emitter.
0ME3000062	Hack the Laser Tripwire Emitter's IFF Circuit.
0ME3000063	Test failed. You have been spotted by a patrol.
0ME3000065	Test failed. You touched a tripwire.
0ME3000067	The Giant Robo-Scorpion's power system has recovered from the power surge that disabled it!
0ME3000069	Test failed. You have been detected.
0ME3000072	Your reward stipend has been placed in the Reward Safe next to the Test Terminal. Congratulations!
0ME3000074	The crashed satellite seems to be the source of the strange transmission you received.
0ME3000075	Old World Blues is recommended for experienced Couriers (Level [%]+).
0ME3000076	You have a premonition that while you'll be unable to return to the Mojave until you solve the mysteries of the Big Empty, you WILL be able to take anything you can carry with you, and you WILL be able to return to the Big Empty any time after completing Old World Blues.
0ME3000077	If you are up to the challenge (and you have all you want to carry with you), examine the satellite a little closer... the atomic wonders of Science! await.
0ME3000080	Take a closer look at the satellite.
0ME3000081	You can't investigate the satellite while you're in combat.
0ME3000083	Test failed. You left the test area.
0ME3000085	DNAgent Perk Granted
0ME3000086	Your study of the abominations created at the Big MT has granted you a damage bonus (+10%) against Nightstalkers.
0ME3000088	Brainless "Perk"
0ME3000091	Spineless "Perk"
0ME3000092	Due to complications with the procedure, your spine has been replaced as well: Your torso can no longer be crippled and your Strength (STR) and Damage Threshold (DT) have been increased (+1).
0ME3000094	Heartless "Perk"
0ME3000095	The scars on your chest seem to confirm what the Think Tank is saying... you cannot be poisoned, and filters in your artificial blood pump will regulate bleeding and healing, allowing all healing items (chems) to function at a higher level (+25%). Robots are now confused by you and 50% less likely to score a critical hit.
0ME3000099	Process Seed into Planter.
0ME3000100	Convert Plant Matter into Salient Green.
0ME3000101	Nothing happens since the midnight showing at the Mojave Drive-in hasn't started yet.
0ME3000103	You use up the set's supply of chemicals to create a chem.
0ME3000105	You have gained the Brainless perk.
0ME3000107	You have lost the Brainless perk.
0ME3000109	You have gained the Spineless perk.
0ME3000111	You have lost the Spineless perk.
0ME3000113	You have lost the Heartless perk.
0ME3000115	You have gained the Heartless perk.
0ME3000117	You have gained the Big Brained perk.
0ME3000119	You have lost the Big Brained perk.
0ME3000121	Big Brained "Perk"
0ME3000124	You have lost the Cardiac Arrest perk.
0ME3000126	You have gained the Cardiac Arrest perk.
0ME3000128	Cardiac Arrest "Perk"
0ME3000129	Your heart is back in your body, but some advanced technologies remain: You are less resistant to poison (50%) and robots are only somewhat confused by you (25% less likely to score a critical hit) now. But on the bright side, healing items (chems) are twice as effective! (+50%)
0ME3000131	You have gained the Reinforced Spine perk.
0ME3000133	You have lost the Reinforced Spine perk.
0ME3000135	Reinforced Spine "Perk"
0ME3000138	Implant M-5 is now available for surgical installation.
0ME3000140	Implant Y-3 is now available for surgical installation.
0ME3000142	Implant Y-7 is now available for surgical installation.
0ME3000144	Implant C-13 is now available for surgical installation.
0ME3000146	This snow globe has been added to the collection at the Lucky 38.
0ME3000148	You don't have any materials to process!
0ME3000150	The Hazmat Suit Containment Unit requires a security code to disable the force field.
0ME3000153	Perform surgery to install cybernetic implants?
0ME3000156	Install Implant C-13: +10% Cazador damage. (8,000 caps)
0ME3000157	Install Implant M-5: Increased speed while crouched. (10,000 caps)
0ME3000158	Install Implant Y-3: Drinking radiation removed. (12,000 caps)
0ME3000159	Install Implant Y-7: Bonus HP/AP from food. (20,000 caps)
0ME3000161	Lights On
0ME3000164	Lights Off
0ME3000165	Standard Lighting
0ME3000166	Smart Lights (+2 INT, +5 Repair, +5 Science for 12 hours after initial exposure)
0ME3000167	Mood Lighting (+2 CHA, +5 Barter, +5 Speech for 12 hours after initial exposure)
0ME3000168	Jukebox files damaged. Insert backup holotape to restore files.
0ME3000170	Restoring Jukebox backup files... restarting Jukebox...
0ME3000172	Advanced functions file damaged. Insert backup holotape to restore file.
0ME3000174	Insert holotape to restore advanced functions.
0ME3000176	Backup holotape received, installing files... unlocking advanced functions...
0ME3000186	Process Books.
0ME3000187	Process Pencils.
0ME3000188	Process Clipboards.
0ME3000189	The schematics for the X-2 Antenna have been uploaded to the Think Tank.
0ME3000191	The Gabriel's Bark audio frequency sample has been uploaded to the Think Tank.
0ME3000193	The schematics for the Stealth Suit Mk II have been uploaded to the Think Tank.
0ME3000195	Voice module disabled at Sink Central Intelligence Unit.
0ME3000197	Dr. Klein awaits. Make sure you're prepared to finish this once and for all.
0ME3000199	Soundwave transducer restricted to Sonic Emitter recalibration.
0ME3000203	Process Toasters and Appliances.
0ME3000204	Super heat Saturnite Fist.
0ME3000205	Personality files detected. Installing...
0ME3000207	Personality files damaged or missing. Insert backup holotape to restore files.
0ME3000209	You don't have any Appliances to destroy or Saturnite Fists to super heat!
0ME3000213	Fill Empty Bottles.
0ME3000214	Drink.
0ME3000215	You don't have any empty bottles to fill!
0ME3000217	You don't have any items to process!
0ME3000219	Enemy struck by acid
0ME3000221	The Barber module of the Auto-Doc now available.
0ME3000223	The Cosmetic Surgery module of the Auto-Doc is now available.
0ME3000225	Stealth Suit Mk II v1.3 Downloaded! (+1 AGL)
0ME3000227	Stealth Suit Mk II v1.4 Downloaded! (+ Sneak Speed)
0ME3000229	Stealth Suit Mk II v1.1 Downloaded! (+10 Sneak)
0ME3000231	Stealth Suit Mk II v1.2 Downloaded! (+1 PER)
0ME3000233	Here is your original spine. You seem to be doing just fine with the replacement spine, fortunately.
0ME3000234	Thanks to the information imparted by your own brain (oddly enough), you're now able to put your original spine back in place by using the Sink's Auto-Doc.
0ME3000236	This is your original heart. Your new heart seems to be working just fine, however.
0ME3000237	Thanks to the information imparted by your own brain (oddly enough), you're now able to put your original heart back in place by using the Sink's Auto-Doc.
0ME3000239	Attached to the still is a note with the following ingredients; 1 Vodka, 1 Mutant Cave Fungus, 1 Salient Green.
0ME3000242	Make Battle Brew. (1 Bottle)
0ME3000243	Make 6-Pack of Battle Brew. (6 Bottles)
0ME3000244	Make a Case of Battle Brew. (12 Bottles)
0ME3000245	You lack the necessary items. (1 Vodka, 1 Mutant Cave Fungus, 1 Salient Green)
0ME3000248	The Sonic Emitter is required to enter this test.
0ME3000250	Sonic Emitter EM Pulse Wave Unlocked! The Sonic Emitter can disable force fields.
0ME3000252	You can't use this while you're crouched.
0ME3000254	DNAvenger Perk Rank Increased
0ME3000255	Further study of the abominations created at the Big MT has granted you an additional damage bonus (+10%) against Cazadores.
0ME3000257	DNAvenger Perk Granted
0ME3000258	Studying the abominations created at the Big MT has granted you a damage bonus (+10%) against Cazadores.
0ME3000260	Implant Y-3 removed ingested radiation.
0ME3000262	The Auto-Doc's Psychiatric Evaluation will allow you to re-define the Traits you selected when you created your character. You may only do this once - are you sure you want to proceed?
0ME3000264	No, thanks, I'll wait.
0ME3000265	Yes, twist my psyche into new and exciting shapes!
0ME3000266	You've acquired the Big Mountain Transportalponder! It's capable of transporting you - and you alone - between the Mojave Wasteland and Big MT.
0ME3000267	To return to the Mojave (or go back to Big MT from the Mojave), simply equip the Transportalponder! as you would any weapon, pull the trigger, and away you'll go. Note that it won't work in interiors or in combat situations, and is totally incapable of harming your enemies.
0ME3000271	Process Coffee Mugs and Dishes.
0ME3000272	Collect Electronic Components.
0ME3000273	You don't have any Coffee Mugs or Dishes for Muggy!
0ME3000275	You don't have any Coffee Mugs or Dishes for Muggy and Muggy doesn't have any Electronic Components for you!
0ME3000279	Upgrade holotape received... upgrading to 'Smart Lights' functionality... (+2 INT, +5 Repair, +5 Science for 12 hours after initial exposure)
0ME3000281	Upgrade holotape received... upgrading to 'Mood Lighting' functionality. (+2 CHA, +5 Barter, +5 Speech for 12 hours after initial exposure)
0ME3000283	Upgrade holotape received... upgrading 'Parts Production' functionality (supply of Energy Cells, Microfusion Cells, and Scrap Electronics available once per day).
0ME3000285	Upgrade holotape received... upgrading 'Secondary Materials Mulching' functionality. (Pencils and Clipboards are processed into Lead, Spare Parts, and Duct Tape.)
0ME3000287	Upgrade holotape received... adding LAER weapon mod "Auxiliary Recharger Clip" to vendor inventory.
0ME3000289	Upgrade holotape received... adding LAER weapon mod "Prismatic Lens" to vendor inventory.
0ME3000291	Upgrade holotape received... adding K9000 weapon mod "Mentat Chow" to vendor inventory.
0ME3000293	Upgrade holotape received... adding K9000 weapon mod "Resla Roil" to vendor inventory.
0ME3000295	Test failed. A robot was destroyed.
0ME3000297	New soundfile available for the Sonic Emitter.
0ME3000299	Sonic Emitter - Revelation now available in the vendor interface.
0ME3000301	Give me one of your Sonic Emitters to recalibrate.
0ME3000309	Select desired recalibration setting for Sonic Emitter.
0ME3000317	Upgrade holotape received... upgrading 'Water Purification' functionality (any empty bottle converted to a bottle of Purified Water).
0ME3000319	Select organ to replace (associated perks will also be replaced).
0ME3000322	Insert your Brain back into your skull.
0ME3000323	Place your Heart back in your chest.
0ME3000324	Re-attach your Spine.
0ME3000325	Replace your Brain with the synthetic version.
0ME3000326	Swap your Heart for the synthetic version.
0ME3000327	Switch your Spine for the synthetic version.
0ME3000328	Implant C-13 surgically installed (+10% Cazador damage).
0ME3000330	Implant M-5 surgically installed (increased crouch speed).
0ME3000332	Implant Y-3 surgically installed (removes drinking radiation).
0ME3000334	Soundfile "Gabriel's Bark" available for the Sonic Emitter.
0ME3000336	Soundfile "Opera Singer" available for the Sonic Emitter.
0ME3000338	Soundfile "Robo-Scorpion" available for the Sonic Emitter.
0ME3000340	Soundfile "Tarantula" available for the Sonic Emitter.
0ME3000342	Implant Y-7 surgically installed (bonus HP/AP from food).
0ME3000344	The Laser Tripwire Emitter is currently off.
0ME3000346	This is your heart. Apparently, cranial surgery complications required its removal, and until your brain is returned, your heart can't be trusted to keep beating in your body. Your new heart seems to be working just fine, however.
0ME3000348	Here is your spine. Without a brain stem to snap it on to, here it floats. Your back doesn't feel any different from the spine's removal - if anything, whatever was placed in there makes you feel stronger.
0ME3000350	Replace your heart?
0ME3000354	Remove your heart?
0ME3000358	Remove your brain?
0ME3000362	Replace your brain?
0ME3000366	Remove your spine?
0ME3000370	Replace your spine?
0ME3000374	Enemy frenzied!
0ME3000376	Based on the other tanks in the room, you can safely assume this where your brain would be floating. It's currently missing from both the tank and its proper place in your head, but you seem to be doing just fine without it.
0ME3000378	Your brain floats here. You seem to be doing just fine without it.
0ME3000380	Your original spine used to float here.
0ME3000382	Your original heart used to be floating in here.
0ME3000384	This option doesn't seem to be available right now. Some sort of control override must be in place.
0ME3000386	Your brain used to float here.
0ME3000388	You have found a recalibration file for the Sonic Emitter. Take it to the Jukebox in the Sink to recalibrate the Sonic Emitter for new effects.
0ME3000390	You don't have the caps for that procedure.
0ME3000392	Old World Blues has been loaded. Your level cap has been raised by 5.
0ME3000394	You've gotten a fragmented signal on your Pip-Boy - a coded transmission of some sort with a sad, jazzy undercurrent that makes your head hurt. As far as you can tell, it appears to be an invitation to the Midnight Science-Fiction Feature! at the Mojave Drive-In (please arrive early to catch the trailers).
0ME3000396	Perimeter Warning!
0ME3000398	This prototype Auto-Doc is capable of performing a thorough physical exam and curing the patient of all common ailments - radiation sickness, lacerations, broken bones, even chemical addictions. In addition, it can also give haircuts and perform cosmetic surgery.
0ME3000401	Basic Physical Exam.
0ME3000402	Initiate Cosmetic Surgery.
0ME3000403	Get a Haircut.
0ME3000404	Swap Body Parts.
0ME3000405	Install Implants.
0ME4000003	This console controls access to the silo itself, but it is encrypted beyond your ability to hack. You will need to find something that can break the encryption in order to proceed.
0ME4000005	Ulysses has seized control of ED-E. You have lost ED-E as a companion, and everything he was carrying has been transferred to you.
0ME4000009	This silo is in lockdown mode in preparation for launch. No entry or exit is permitted until the launch sequence is completed.
0ME4000011	This terminal is damaged.
0ME4000012	You may be able to fix it. [50 Repair]
0ME4000015	Leave terminal alone.
0ME4000016	Repair the terminal.
0ME4000017	The mainframe is locked down with a secure, military-grade encryption sequence. You'll need to find the security codes and upload them to ED-E to gain access to the mainframe.
0ME4000022	You can now access the silo's mainframe.
0ME4000026	Open the silo's bunker doors.
0ME4000027	You've already opened the bunker door.
0ME4000029	ED-E has used the security codes to unlock the mainframe.
0ME4000031	Welcome to the Eyebot Control Station
0ME4000034	Disconnect Eyebot Power (Repair)
0ME4000035	Send Eyebot Shutdown Command (Science)
0ME4000036	This is an intact nuclear warhead. If what Ulysses said is true, the Laser Detonator in Hopeville should be able to trigger these to explode.
0ME4000038	ED-E has restored power to the silo's access controls.
0ME4000040	This terminal can only be accessed by an Eyebot.
0ME4000043	Have ED-E unlock the terminal for you.
0ME4000044	ED-E has unlocked a terminal for you!
0ME4000046	Disconnect the Eyebot from it's power source.
0ME4000047	(Repair 100 required)
0ME4000050	Disconnect Eyebot Power
0ME4000052	Send the Eyebot a shutdown command.
0ME4000053	(Science 100 required)
0ME4000056	Send Eyebot Shutdown Command
0ME4000058	Eyebot has successfully shut down, reconfigure the Eyebot's targeting systems?
0ME4000062	Reconfigure Eyebot Targeting Systems
0ME4000085	Stop jumping off of buildings.
0ME4000087	This terminal is already engaged in its countdown sequence and the abort code has been overridden. You might be able to change the missiles' target, or accelerate the countdown and launch the missiles immediately.
0ME4000090	Attempt to cancel the launch.
0ME4000091	Redirect the missiles to target both the NCR and Caesar's Legion.
0ME4000092	Redirect the missiles to target Caesar's territory.
0ME4000093	Accelerate the countdown and launch the missiles at the NCR.
0ME4000094	The abort code is encrypted with an incredibly advanced Pre-War military encryption sequence. You'd have to be a code-breaking robot to crack it in time.
0ME4000096	Try something else.
0ME4000097	Ask ED-E for help.
0ME4000098	This will launch Ulysses' missiles against targets in the heartland of the NCR, raining nuclear fire down on its cities and its people. Are you sure you want to continue?
0ME4000100	No.
0ME4000102	This will launch Ulysses' missiles against targets in the lands east of the Colorado controlled by Caesar's Legion, raining nuclear fire down on its cities and its tribes. Are you sure you want to continue?
0ME4000106	Player not sneaking! Let's Dance attack failed.
0ME4000108	Enemy takedown! Let's Dance attack hit.
0ME4000110	Enemy cannot be bled! No takedown.
0ME4000122	You can disable this emitter (and the beam originating at this emitter) if you have sufficient skill with electronics.
0ME4000123	(Repair of 90 or greater required.)
0ME4000126	Disable the laser tripwire beam.
0ME4000127	With its beam triggered, this emitter is no longer functional.
0ME4000129	This terminal can only be unlocked by an Eyebot.
0ME4000133	Welcome to the United States Armed Services Joint Automated Commissary and Repair Station! Please input your selection below.
0ME4000136	Access Commissary.
0ME4000137	Access Universal Repair Interface.
0ME4000138	It looks like Ulysses left you one last package...
0ME4000140	This will launch Ulysses' missiles against targets in the heartland of the NCR and the lands held by Caesar's Legion, raining nuclear fire down on both factions. Are you sure you want to continue?
0ME4000144	You have gained the Camarader-E Perk (Rank 2), allowing ED-E to manufacture Small Energy Cells or Microfusion Cells once per day.
0ME4000146	You found a module on this broken Eyebot that can upgrade ED-E. Installing this module grants you the first rank of the Camarader-E Perk, allowing ED-E to repair your currently-equipped weapon once per day.
0ME4000147	This perk is accessed through ED-E's dialogue.
0ME4000148	If you find more upgrade modules, you can unlock further ranks of this Perk. When you return to the Mojave, these upgrades will carry over to the original ED-E as well.
0ME4000150	It's Just Lucky You're Alive! (+4 Luck for 3 minutes)
0ME4000152	Your merciless nuclear assault on Caesar's Legion has devastated the lands east of the Colorado and reached even the borders of the Mojave. At Cottonwood Cove, you can now take a journey by river to the site of Dry wells, a devastated Legion encampment. Be prepared - the area is highly irradiated and infested with Legion ghouls.
0ME4000153	You have also unlocked the Scourge of the East Perk, allowing you to put a single point into any of your S.P.E.C.I.A.L. attributes. You also gain reputation with the NCR for breaking the back of Caesar's Legion, but you lose reputation with Caesar's Legion.
0ME4000155	Your merciless nuclear assault on the NCR has devastated the lands of California and reached even the borders of the Mojave. At the Mojave Outpost, you can now travel through the western gate to Long 15, the site of a devastated NCR outpost. Be prepared - the area is highly irradiated and infested with former NCR ghouls.
0ME4000156	You have also unlocked the Bear-Slayer Perk, allowing you to put a single point into any of your S.P.E.C.I.A.L. attributes. You also gain reputation with Caesar's Legion for annihilating the NCR's homeland, but lose reputation with the NCR.
0ME4000158	Your merciless nuclear assault on the nations of the Mojave has devastated the lands of both the Legion and the NCR and reached even the borders of the Mojave. At the Mojave Outpost, you can now travel through the western gate to Long 15, the site of a devastated NCR outpost. At Cottonwood Cove, you can now take a journey by river to Dry Wells, the site of a devastated Legion encampment. Be prepared - both areas are highly irradiated and infested with feral ghouls.
0ME4000159	You have also unlocked the Dead Man's Burden Perk, allowing you to put a single point into any of your S.P.E.C.I.A.L. attributes. You also gain reputation with the Boomers and the Powder Gangers for your... destructive tendencies, but you lose reputation with the NCR and Caesar's Legion.
0ME4000161	The Divide broke cities, flayed skin from bone and threatened to destroy the world, but you survived it - and stopped it. You can put a single point into any of your S.P.E.C.I.A.L. attributes. You also gain reputation with the Followers of the Apocalypse and the Brotherhood of Steel for stopping another Armageddon.
0ME4000163	It looks like the missile hit somewhere on the other side of the Divide. You think you could reach the location of the blast from Hopeville... that is, if you feel brave enough to explore ground zero of a nuclear blast.
0ME4000165	You left ED-E behind in Ulysses' Temple - not that you needed the help anyway. As long as you have no companions, your attacks inflict +10 percent damage and you have +10 percent accuracy in VATS.
0ME4000167	This door is locked, and needs electricity before opening.
0ME4000169	You have gained the Marked Perk.
0ME4000171	You have gained the Camarader-E Perk (Rank 3), giving you and ED-E both +2 DT.
0ME4000173	You have gained the Camarader-E Perk (Rank 4), increasing your damage with beam weapons by +5. ED-E also gains +5 damage while he is your companion.
0ME4000175	You have gained the Camarader-E Perk (Rank 5), increasing your accuracy in V.A.T.S. as long as ED-E is your companion. ED-E also gains an accuracy boost while he is your companion.
0ME4000177	Once you ascend this elevator, you cannot return until you end this. If you have anything else you want to do before going ahead, take care of it now.
0ME4000179	Step back.
0ME4000180	Take the elevator.
0ME4000181	This claw is larger and more impressive than those of lesser Deathclaws. You might be able to turn it into a weapon if you find a workbench.
0ME4000183	This Auto-Doc is capable of performing a thorough physical exam and curing the patient of all common ailments - radiation sickness, lacerations, broken bones, even chemical addictions.
0ME4000186	Conduct physical exam.
0ME4000187	Hey, campers, lights out! (Close the Pip-Boy to start sleeping.)
0ME4000189	Hey, campers! The Roughin' It! Bedroll Kit is only approved for the great outdoors, so step outside and give 'er a try there.
0ME4000191	The Roughin' It! Bedroll Kit allows you to sleep just about anywhere out under the stars. Select it in your Pip-Boy and sleep your cares away!
0ME4000193	Auto-Inject Stimpak used
0ME4000195	Auto-Inject Super Stimpak used
0ME4000197	Rushing Water has increased your attack speed.
0ME4000199	You can't swim any farther in this direction.
0ME4000201	You just got your first Blank Magazine! Any time you pick up a damaged book it will be turned into one of these from now on. They're worth more than regular books and you can use them to make Skill Magazines! Any Skill Magazine you have on you can be copied using a blank one at a Workbench. There's even a recipe to turn it back into a book if you want!
0ME4000203	ED-E has unlocked a commissary for you!
0ME4000205	Snakebite Tourniquet used
0ME4000207	This terminal has already been used.
0ME4000209	This lever can't be activated yet.
0ME4000211	The bright light drives the tunneler into a frenzy!
0ME4000213	The abomination panics and flees!
0ME4000215	You cannot sleep while in combat.
0ME4000217	The coordinates you received lead you to this canyon filled with storm-tossed wreckage. Beyond lies the Divide.
0ME4000218	Lonesome Road is intended for experienced Couriers (Level 25 or higher). You cannot take companions with you on the road ahead (nor bring any you find out with you). You can carry whatever equipment and gear you have with you without restriction, however.
0ME4000219	If the journey proves too difficult, or you need to resupply, you can retrace your steps and return to the Mojave at any time. If you are prepared, then continue on into the storms of the Divide... history awaits.
0ME4000221	Walk away.
0ME4000222	Walk the Lonesome Road.
0ME4000223	You've found the Laser Detonator Ulysses spoke of, a piece of Pre-War tech that can detonate the nuclear warheads scattered around the Lonesome Road. You can use it to open new paths, kill your enemies from afar, or even discover secret loot caches. Just point it at a warhead, hold down the trigger, and watch the explosion.
0ME4000224	If what Ulysses said is true, you'll need this to advance, which means there must be a warhead blocking the way forward. You'll need to find the correct warhead and detonate it.
0ME4000226	The mainframe is locked down with a secure, military-grade encryption sequence. The codes you uploaded to ED-E's system should be able to unlock it.
0ME4000229	Ask ED-E to unlock the mainframe.
0ME4000230	Use the controls' lever to restore power to the silo.
0ME4000232	Use the control station's lever to open the Ashton silo.
0ME4000234	You have found a Flash Bang grenade! Flash Bangs are special grenades that:
0ME4000235	- Deal Fatigue damage.
0ME4000236	- Reduce enemy weapon skills.
0ME4000237	- Have a chance to Frenzy Tunnelers.
0ME4000239	Your Pip-Boy has received a signal - coordinates that lead to the Canyon Wreckage west of Primm. Following the coordinates are the words "Courier Six." It's signed, "Ulysses."
0ME4000241	Lonesome Road has been loaded. Your level cap has been increased by 5.
0ME4000243	You cannot bring others with you into the Divide. This road is one you must walk alone.
0ME50000001	Gun Runners' Arsenal has been loaded.
0ME50000003	The ongoing conflict in the Mojave Wasteland has kicked weapon manufacturers into high gear! All major and minor weapon dealers in the region are rolling in new weapons, ammunition types, and modifications. Head to your nearest participating vendor to peruse the merchandise!
0MEC0000001	You take a sip from your trusty Vault 13 canteen...
0MEC0000003	Classic Pack items added to inventory.
0MEC0000005	Caravan Pack items added to inventory.
0MEC0000007	Mercenary Pack items added to inventory.
0MEC0000009	Tribal Pack items added to inventory.
