0NO0000001	이름 : 페이서 
0NO2000120	모퉁이 너머로 슬쩍 살펴 보았다. 콜록이들 중 하나가 곰덫에 걸려 있었다. 기관단총으로 처리해 버리려 했지만 우는 소리에 그렇게 하지 못했다. [CRLF]
0NO2000121	날 보자마자 지른 비명 소리라니. 하긴 꽤나 오랫동안 그것들한테는 귀신이나 마찬가지였을 터다.[CRLF]
0NO2000122	이름은 실비라고 했다. 그 악랄한 새끼들을 "악마의 자식들"이라고 부르며 그것들로부터 도망쳐왔다고 했다. 그것들은 원래 살고 있던 방공호 안에서 뭔가에 감염된 다음 그렇게 변해 버렸다고 한다. 그녀 자신은 그 뭔가에 감염되지 않았다고 했다(뭐 어쨌든 아직까지는).[CRLF]
0NO2000123	그래서 어쩌다 보니 그녀를 간호하는 신세가 되었다.[CRLF]
0NO2000124	1월 18일
0NO2000125	그녀의 이야기는 내가 작년에 그것들을 "조사"하면서 벌였던 일들과 맞아 떨어졌다. 그녀의 이야기에 따르면... 그냥 그 무리 안에서 여자로서 존재하는 것은 별로 즐겁지 못한 일이었다고만 해 두자. 그래서 그녀는 그것들이 시온에서 빠져나갈 때 무리에서 도망쳤다.[CRLF]
0NO2000126	그녀는 방공호 밖에서 살아가는 법에 대해서는 아무 것도 모른다. 그녀는 내게 배우고 싶다고 했다.[CRLF]
0NO2000127	9월 9일
0NO2000128	내 생애에 지금처럼 두려웠던 적이 없었다.[CRLF]
0NO2000129	캐나다에서조차 두려웠던 적은 없다. 그저 거기서 벌어지는 범죄가 역겨웠을 뿐.[CRLF]
0NO2000130	세상이 끝장났다는 사실도 두렵지 않았다. 당신과 알렉스가 죽었다는 걸 알게 된 뒤로는 더 이상 두려워하고 자시고 할 것도 없었으니까. 그저 하루하루 살아갈 뿐이었다.[CRLF]
0NO2000131	그 방공호 족속들하고 싸울 때도 무섭지는 않았다. 그 새끼들보고 어디 죽여 보라고 도발하는 거나 마찬가지였지. 지금 생각해 보면 그게 지난 몇 년 사이에 가장 행복한 순간이 아니었나 싶다.[CRLF]
0NO2000132	그런데 지금, 실비가 임신했다. 그게 난 정말로 두렵다.[CRLF]
0NO2000133	나잇살 처먹고 참 웃기는 짓이지. 47살에 또 아빠가 된다니, 그것도 이런 세상에서?[CRLF]
0NO2000134	그녀는 정말 들떠 있고... 믿고 있다. 신이 우리에게 내려주신 거라고, 잘못될 일 같은 건 아예 없다는 듯이 말이다.[CRLF]
0NO2000135	그게 말이지, 샤르, 그녀는 당신과 알렉스에 대한 건 전혀 몰라. 말한 적이 없거든. 몇 번인가 말을 꺼내려 했는데 그냥 당신과 나 사이의 일은 묻어두는 게 나을 것 같더라고.[CRLF]
0NO2000136	뭐, 지금의 난 젊은 새색시가 예전 마누라와 잘 사는 데 실패했다는 사실을 몰랐으면 하는 늙은이라고 하는 게 더 맞겠지.[CRLF]
0NO2000137	의학서적이랑 약품 같은 걸 구하러 토커빌까지 걸어갔다 왔다. 잘 될 거야.[CRLF]
0NO2000138	미안해, 샤르. 당신이 날 용서해 주기를 바라.[CRLF]
0NO2000139	3월 5일
0NO2000140	아이가 다리부터 나왔다. 아들이었다. 이름은 마이클로 지어주려 했었는데.[CRLF]
0NO2000141	아이를 제대로 꺼내려고 할 수 있는 걸 다 해봤지만 잘 안 됐다. 제왕절개를 더 일찍 했어야 했다. 실비라도 구해보려고 했지만 그녀도 결국 다시 깨어나지 못했다.[CRLF]
0NO2000142	내로우즈 남쪽에 두 사람을 묻었다.[CRLF]
0NO2000143	그래, 최소한 이번에는 그들 곁에 있었군. 적어도 전보다는 훨씬 나았다.[CRLF]
0NO2000144	이제는 할 수 있을 것 같다. 내 지랄맞을 머리통이 산산조각나서 이 우라질 동굴 안 곳곳으로 퍼지도록 날려 버리는 거 말이다.[CRLF]
0NO2000145	8월 22일
0NO2000146	협곡 입구에서 북동쪽으로 약 0.7km 거리에 10여 개의 흔적이 남아 있었다. 맨발이라고???[CRLF]
0NO2000147	8월 23일
0NO2000148	조준경을 통해 관찰해 보았다. 시체들이 걸어 다니고 있다. 마침내 내가 미쳐버린 것 같다. 아마 치매가 온 거겠지.[CRLF]
0NO2000149	8월 24일
0NO2000150	내가 미친 게 아니라 진짜였다. 니미럴, 그것들은 진짜 현실이었다.[CRLF]
0NO2000151	날 보자마자 짐승처럼 으르렁거리며 달려왔다. 겉보기는 영락없는 시체인데 썩어가는 냄새는 나지 않았다.[CRLF]
0NO2000152	녀석들을 그런 엿같은 운명에서 편안하게 해주려 한다. 나 스스로에게는 절대로 해주지 못했던 그걸 말이다.[CRLF]
0NO2000153	9월 3일
0NO2000154	전부 없앴다. 전부 다 죽였다.[CRLF]
0NO2000155	2월 5일
0NO2000156	생일 축하합니다. 생일 축하합니다. 사랑하는 이 아무짝에 쓸데 없는 늙어 빠진 영감탱이의 생일 축하합니다.[CRLF]
0NO2000157	즐거운 환갑이로군. 생일 축하 선물로는 뭘 받는다?[CRLF]
0NO2000158	위스키 한 병과 함께 12게이지 슬러그탄 한 발 원샷은 어때? 와우![CRLF]
0NO2000159	이거 봐 친구. 이미 충분히 오래 살지 않았어?[CRLF]
0NO2000160	이미 난 주름이 자글자글한 노인네다. 수염도 이미 허옇게 된 지 오래다. 일출이든 석양이든 충분하고도 남을 만큼 봤다. 지독하게 큰 석양 하나 본 뒤로 36년 동안이나 길고 긴 밤을 지내 왔지. 그래, 웃긴다. 등신아.[CRLF]
0NO2000161	뭔가 긍정적인 면이 있을 거라고 날 속일 생각은 없다. 뭐 내가 태어나기 전엔 세상이 이렇게 엿같지는 않았겠지.[CRLF]
0NO2000162	샤르, 알렉스, 실비. 그리고 태어나 보지도 못한 마이클.[CRLF]
0NO2000163	죽기 전에 내가 사랑했지만 이미 죽어 버린 사람들을 생각한다.[CRLF]
0NO2000164	잘 있거라, 시온이여. [CRLF]
0NO2000165	2월 6일
0NO2000166	씨발, 실패했다. 언제나처럼 겁쟁이야 넌. 내년엔 두 병 갖고 해봐야겠다.[CRLF]
0NO2000167	4월 25일
0NO2000168	전부 24명이다. 반은 남자아이, 남은 반은 여자아이. 가장 어린 녀석은 여덟 살쯤, 가장 나이 많은 녀석은 13에서 14살쯤 되어 보인다. 꽤나 오랫동안 걸어 다닌 모양인지 다들 더럽고 야위었다. 무슨 소년 십자군이냐. [CRLF]
0NO2000169	30년 전에 멕시코 친구들이 머물렀던 바로 그 곳에 캠프를 차렸다. [CRLF]
0NO2000170	대화를 엿듣느라 이틀 밤을 샜다. 그나마 배운 영어다. 한 아이가 더 어린 애들이 잘 때까지 이야기책을 읽어 준다.[CRLF]
0NO2000171	아무래도 "학교"라고 부르던 곳에서 탈출한 모양인데 어디인지 감이 안 잡힌다. 어린 녀석들이 말을 잘 안 들을 때마다 그만두지 않으면 "교장이 널 잡으러 올 거야"라고 한다.[CRLF]
0NO2000172	그 교장이란 새끼 나타나지 않는 게 신상에 좋을 거다. 내가 대갈통을 날려버릴 거니까. 내 사격 솜씨는 아직 녹슬지 않았다고.[CRLF]
0NO2000173	1월 2일
0NO2000174	그 아이들에게 새해 카드와 선물들을 주었다. [CRLF]
0NO2000175	아이들은 책을 좋아했다. 이야기를 읽다가 무기 입문서나 의학서적, 실용도구일람 등을 읽었다. [CRLF]
0NO2000176	좀 부끄럽지만, 나는 카드에 사람들이 서로 주고 받는 것들처럼 사랑스러운 말들을 써 놓았다. 나는 아이들에게 읽고, 배우고, 자신들의 새로운 집을 만들라고 적었다. 또한 그들의 고단한 삶과 사람이 사람을 괴롭히는 현실의 슬픔을 극복하기 위해 시온을 선물로 주겠노라 썼다. 서로 친절하고 겸손하라는 말도 덧붙였다. 마지막으로 서로 상처 입히지 말고, 너희들을 해치려는 사람이 있거든 뭉쳐서 정의의 분노를 품고 대항하라는 말도 덧붙였다. 그리고 기타 등등. 모든 카드에는 "아빠가"라고 사인했다. 왜냐고? 그래야 할 것 같아서였다. [CRLF]
0NO2000178	내가 죽을 거라는 이야기를 했던가?[CRLF]
0NO2000179	정신은 아직도 멀쩡한데 폐가 문제다. 암인 것 같다. 몇 달 간 기침이 심해지더니 피가 나왔다. 숨이 차서 내 작은 친구들을 만나기 힘들다. [CRLF]
0NO2000180	내가 가진 모든 것을 나눠 줬다. 아이들이 더 나이가 들면 이 동굴에서 살게 될 것이다.[CRLF]
0NO2000181	하지만 아이들이 날 찾는 건 원치 않는다. 이 쓸모 없는 늙은이가 가 "아빠"라고? 실망할 게다.[CRLF]
0NO2000182	때가 되었다. 더 이상의 생일은 필요없다.[CRLF]
0NO2000183	1월 23일
0NO2000184	레드 게이트 옆 이 언덕 위의 추위라면 오래 걸리지 않을 거다. 용케 여기까지 올라 올 힘이 남아 있었군. 누워서 하늘이나 보련다. 기분이 좋다.[CRLF]
0NO2000185	아이들이 잘 해 나가길 소망한다. 아이들 속에서든 밖에서든 해치려는 자가 없기를 소망한다. 마지막 카드는 최선을 다해서 준비했다. 각각의 아이들이 특별히 느낄 말들을 써놓았다. "아빠"는 상냥한 너희들을 만나서 기쁘고, 앞으로는 너희들에게 달렸으며, 나는 이제 카드를 보내지 않겠지만 계속 지켜보고 돌봐줄 것이라 적었다. [CRLF]
0NO2000186	물론 거짓말이다. 뭐 그렇지.[CRLF]
0NO2000187	샤르, 그리고 알렉스. 당신들에게도 거짓말을 했어. 실비에게도. 영원히 함께 할 거라 말했었지. 하지만, 그때로 되돌아 간다 해도 나는 분명 똑같은 말을 할 거야. [CRLF]
0NO2000188	대체 이 인생에 무슨 의미가 있었던 걸까? 너무도 많은 실패 뿐이었잖아. [CRLF]
0NO2000189	하지만 당신의 얼굴은 한 순간도 잊지 않았어. 우리 아이도. (미안하지만) 실비의 얼굴도. 머지 않아 잊혀진다고 하던데 난 그렇지 않았어.[CRLF]
0NO2000190	아마 내 인생에서 유일하게 의미 있었던 일은 모두의 얼굴들을 가능한 한 오랫동안 내 머릿속에 보관해 뒀던 일 같아. 내가 해 줄 수 있는 건 그거 밖에 없었으니까. 단 하루도 당신들 생각을 하지 않은 적이 없어.[CRLF]
0NO2000191	내가 선택한 건 아니야. 난 몇 번이고 죽는 걸 선택했지. 하지만 매번 실패했어. 몸이 제멋대로 움직였으니까.[CRLF]
0NO2000192	뭐, 작은 아이들에겐 그런 게 필요할 거다. 인류가 계속된다면 그들에게도 필요하다. 앞으로 나아가려는 무모한 돌진이. [CRLF]
0NO2000193	모두 잘 되기를 빈다. 세상의 끝에서, 나는 순수함을 보는 선물을 받았다. [CRLF]
0NO2000195	랜달 딘 클라크
0NO2000196	2053년 2월 5일 ~ 2124년 1월 23일
0NO2000197	이 메세지를 읽고 있다면, 당장 이 계곡에서 최대한 빠르게 벗어나십시오. [CRLF]
0NO2000198	지난 11개월 동안 우리들은 매일 같이 이곳의 사악한 존재와 싸워 왔습니다. 작년 2월 이곳에 도착할 때는 118명의 강력한 부대였던 우리는 미개인들의 습격을 받았고, 우리 스스로를 지켜야 했습니다. 그 후, 무언가가 우리들을 죽여나가기 시작했습니다. 우리는 정말 최선을 다하여 어떤 인간이라고 생각되는 이것을 처리하기 위해 노력하였습니다. 왜 인간이라고 생각했는가하면, 그것은 우리의 총기들을 가져가 우리를 향해 쏘았고, 모든 종류의 함정을 설치할 줄 알았기 때문입니다. 하지만, 대체 어떤 인간이 우리의 모든 노력을 이렇게 산산히 부숴버릴 수 있다는 말입니까? 그건 인간이 아니라 악마가 분명합니다![CRLF]
0NO2000199	그 기간 동안 우리는 34명으로 줄어들었고, 6명의 전임 오버시어들을 잃었습니다. 볼트에서부터 감염되었던 폐병으로 죽어간 사람들도 있지만, 그것이 죽인 동료들의 수에 비하면 비교가 되지 않을 만큼 적습니다. [CRLF]
0NO2000200	저는 마지막 오버시어로서, 우리는 이곳을 떠날 것이며 다시는 돌아오지 않을 것을 선언합니다. 당신이 깨끗한 물과 풍부한 사냥감, 그리고 안전한 피난처들 때문에 이곳을 낙원이라고 생각했다면, 절대 속지 마십시오. 이곳에는 죽음밖에 없습니다. 어서 이곳에서 벗어나서 보이지도 않을 만큼 멀리 달아나십시오.[CRLF]
0NO2000201	신께서 우리에게 자비를 베푸시길.[CRLF]
0NO2000202	J. 핸드릭스
0NO2000204	볼트 22 원정대[CRLF]
0NO2000205	안녕하십니까? 맨디씨.[CRLF]
0NO2000206	전 시온 잡화점을 운영하는 호레이스 애플바움입니다. 3주 전에 나침반과 워키토키 한 쌍, 상비약으로 구성된 "호화로운 산사람 올인원 생존 키트"를 주문했는데요. [CRLF]
0NO2000207	제가 이 메일을 쓰는 이유는 오늘까지도 (2057년 06월 15일) 배송이 오지 않았기 때문입니다. 여기에는 그 키트가 다 소진되었고 여름 관광객 시즌은 다가오고 있습니다. 가능한 빨리 새 키트가 필요합니다.[CRLF]
0NO2000209	호레이스 씀[CRLF]
0NO2000210	맨디 씨께[CRLF]
0NO2000211	도대체 그 망할 배송회사는 누가 운영합니까? 전 네바다에 있는 기념품점으로 가야 할 "공룡 딩키 정품 액션 인형" 세 상자를 배송 받았습니다. 어떻게 이 망할 것들이 이곳으로 배송된 겁니까?[CRLF]
0NO2000212	맨디. 제가 이 망할 것들을 가지고 뭘 어쩌라는 겁니까? 그 망할 공룡을 진열해 아이들용 기념품이라고 판매하면 푼돈은 조금 벌 수 있겠지만, 그보다는 엄청난 손해를 봐야 할 겁니다.[CRLF]
0NO2000213	당신 배송부서가 뭘 하고 있건 간에, 당장 처리해 주지 않으면 다음부터는 맹세코 다른 회사와 거래하겠습니다.[CRLF]
0NO2000216	추신- 지난 달에 주문한 서바이벌 장비도 아직 배송받지 못했습니다. 공룡 따위와는 달리 사람들한테 팔 수 있을 만한 물건 말이에요![CRLF]
0NO2000217	보이스카웃 단장 밋첨 씨께[CRLF]
0NO2000218	저희 상점을 애용해주셔서 감사합니다! 귀하께서 주문하신 리틀 스카웃 도시락 상자가 도착했습니다. 물건은 귀하께서 시온에 도착하시면 잡화점에서 수령하실 수 있습니다. 잡화점은 월요일에서 토요일까지, 아침 7시부터 해질녘까지 영업합니다. 저희는 독립 기념일에 당신과 보이스카웃 여러분들을 만날 것을 고대하고 있습니다.[CRLF]
0NO2000219	안녕히,
0NO2000220	호레이스 애플바움[CRLF]
0NO3000001	이 실험에서 당신은 들키지 않고 모든 로봇을 정지시켜야 합니다. 슈트의 FCG(필드 순응 발생기)를 적절히 조정해야 할 것입니다. 모든 보안 장치가 가동되었습니다. 성공 시, 보급함에 보상이 지급됩니다.
0NO3000002	[CRLF]성공조건: 들키지 않고 모든 로봇을 정지.
0NO3000003	실패조건: 들킴.
0NO3000004	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 성공 시 슈트의 소프트웨어가 자동으로 업데이트 되며, 보급함에 보상이 지급됩니다.
0NO3000005	[CRLF]성공조건: 들키지 않고 관리자 사무실에서 문서 회수.
0NO3000007	사람이 던지는 물건을 물어오게끔 새로운 애완용 사이버독 모델을 프로그래밍 하던 중, 실수로 녀석이 짖는 소리를 녹음한 오디오 샘플을 물어오도록 만들었다. 사이버독은 오디오 샘플이 맘에 들었는지, 내가 다시 가져가려 들자 공격적인 성향을 보였다. 샘플은 필요해질 때까지 재건축 지역에 두기로 했다. 분명 사이버독이 땅에 묻어 놨을 테지.
0NO3000008	[CRLF]X-8 사이버독 프로젝트 실험 엔지니어, 닥터 게일 리차드슨 박사 
0NO3000009	음파 방사기에서 집속 전자기 펄스를 방출하는 데 필요한 정전용량 모듈 개발에 성공했다. 물리적 영향은 약하지만, 젠킨스가 포스 필드에 무기를 발사하자 필드의 방출 어레이가 타버렸다. 이후 추가 연구에 의해, 이 총은 아주 좁은 주파수 대역에서만 효과가 있다는 것을 알아냈다. 불행히도 이 대역 안에 우리 포스 필드 주파수가 포함된다. 이 총은 향후 연구를 위해 X-8로 보내졌다.
0NO3000010	[CRLF]-닥터 칼리스
0NO3000012	[CRLF]무단 결석 7회
0NO3000013	수업 방해 3회
0NO3000014	교내 흡연 11회
0NO3000015	중간고사 성적표: 리치 "불알 애호가" 마커스
0NO3000016	[CRLF]영어 F-
0NO3000017	수학 F-
0NO3000018	과학 F--
0NO3000019	역사 F-
0NO3000020	체리 오배넌의 방과 후 일정
0NO3000021	[CRLF]발레: 화요일, 목요일 4:30 - 6:30
0NO3000022	응원단: 수요일 4:15 - 5:15
0NO3000023	가정 교습 자원봉사: 월요일 4:15 - 6:00
0NO3000024	1) 최근 정부의 예산 삭감으로 인해, 하루에 3번의 실험만 가능합니다.
0NO3000025	2) 여기 X-8 내부에는 개집이 많지 않습니다! 실험을 위한 여분의 사이버독은 한 마리만 허용됩니다.
0NO3000026	3) 플랫폼 위의 잔재를 깔끔히 치우고 합성 실험을 진행하십시오.
0NO3000027	4) X-8 시설 밖에서 실험하는 건 엄격히 금지합니다.
0NO3000028	5) 마지막으로, 실험을 진행하기 전 보안이 해제되어야 합니다.
0NO3000029	피험체들에게는 이 실험이 미국 학교 내에 침입한 공산주의자들의 영향력을 측정하려는 거라고 설명했습니다. 실험이 본격적으로 시작될 때까지 사이버독에 관한 건 전혀 모를 겁니다.
0NO3000030	1) A 실험은 사이버독 보호 프로토콜과 함께 표준 자동 포탑 시스템이 작동합니다.
0NO3000031	2) B 실험은 기존 실험에 프로텍트론을 추가합니다. 또한 필드 분열기 정전용량 모듈의 기본 실험을 포함합니다.
0NO3000032	추후 공지가 있을 때까지, 애완용 사이버독 실험 구역에 들어가거나 관련 실험을 하지 말아 주십시오. 사이버독들은 아직 프로그래밍 중이므로, 방해 시 진행 과정에 악영향을 끼칠 수 있습니다. 이번 접근 금지 조치를 통해 "놀이시간 사건"같은 사고의 재발을 방지하고, 거주지 관련 예산 지출을 막을 수 있을 겁니다.
0NO3000034	리차드슨 박사님,
0NO3000035	방금 사이버독 실험 과정에 필요한 개들이 왔습니다만... 그게, 아무래도 공급업체에서 우릴 엿먹인 것 같습니다. 야생 들개들 같아요. 우리에 가까이 가면 끔찍한 쇳소리를 내고... 어이없지만, 방울뱀 소리도 냅니다. 어떻게 하죠? 우리를 열까요, 아니면 그냥 반송할까요?
0NO3000036	이 실험에서, 당신은 미국의 교육 시설에 잠입하는 사악한 빨갱이 역할을 하게 됩니다. (걱정 마세요, 그런 척만 하는 거니까!) 당신은 더러운 빨갱이 반역자가 되어 (물론 아니죠) 우리 아이들을 세뇌하기 위해 (물론 그러실 리 없죠) 문서를 훔치는 겁니다. 이 실험은 국제 공산주의로부터 나약한 아이들을 지켜내는 데 큰 도움이 될 겁니다! 당신 같은 빨갱이로부터 말이죠!
0NO3000037	[CRLF]농담입니다! 당신은 분명 충성스러운 미국인이시겠지요. [CRLF]아닌가요?
0NO3000038	리차드슨 박사의 요청에 따라 최근 들어온 개집 중 하나를 열어 봤습니다. 안에 있던 "개"는 (이걸 개라고 불러도 될지 모르겠지만) 끔찍한 피부병 때문에 괴로워하고 있었습니다. 풀어주자마자 애커스 상병을 공격, 살해하고 그 시체를 삼키려 들더군요. 다행히 상황은 안정됐습니다. 적어도 지금은요. 놈이 거구의 애커스 상병을 삼키다가 질식해서 죽었거든요.
0NO3000039	[CRLF]이 개들에 대해 뭐 아는 사람 없습니까? 조언 좀 해줘요.
0NO3000040	최근 들어온 피실험체 선적물 때문에 많은 사상자가 나왔기에, 배송 부서는 한동안 폐쇄합니다. 이 괴물놈들이 일으킨 난장판만 해결된다면, 밤을 새워서라도 밀린 택배들을 최대한 빨리 배송해 드릴 것을 약속드립니다. 하지만 배송 부서에 살아남은 사람이라고는 저 혼자 뿐이라 다소 늦어질지도 모르겠네요. 그때까지는 X-13의 칼리스 박사님이 패스카드를 소지하고 계실 겁니다.
0NO3000041	[CRLF]유일한 생존자 스키피
0NO3000042	X-13 시설에서 우리 데이터 회수 시뮬레이션에 쓸 음파 방사기용 프로토타입 EM 펄스파 모듈을 대여해 줬습니다. 이 모듈을 사용하면 특정 포스 필드를 해제할 수 있습니다. 피실험체가 이 모듈을 들고 X-8 밖으로 나가지 못하게 하십시오! 비록 빅 MT 밖에서는 작동하지 않겠지만, 이건 모든 보안체계의 악몽 같은 물건입니다. 이 건에 대한 여러분의 관심에 감사드립니다.
0NO3000043	[CRLF]실험 감독관 아담 피기스 의학/철학/민간의학/음악학/신학 박사
0NO3000044	네, 프로젝트 버크는 과학에 무지한 인간들에게는 "묘지 도굴"로 보일 수 있습니다. 네, 예산 삭감 때문에 어쩔 수 없습니다. 아뇨, 수석 연구원 중 누구도 시신을 다른 용도로 사용하지 않습니다. 마지막으로, 프로젝트 헤어가 실험에 쓸 민간인들을 조달하기 위함이라는 헛소문에 대해선 굳이 답변하지 않겠습니다. 다른 질문 있으신 분?
0NO3000046	이 단말기를 사용하려면 스텔스 슈트 Mk II를 착용하세요.
0NO3000047	거대 로봇 전갈의 새터나이트 아머 플레이팅은 우리 예상을 "거의" 뛰어넘었다. 소형 화기론 거의 흠집도 안 났지만, 파슨스가 가져온 음파 방사기로는 프로토타입의 서브시스템 몇 개를 망가뜨렸다. 다음 프로토타입에는 EMP 쉴드를 발전시킬 방안을 연구해 봐야겠다.
0NO3000048	[CRLF]더 좋은 소식은, 프로토타입의 새 아토믹 레이저가 멋지게 작동한다는 것이다. 무기 발사 후 남는 잔여 방사능이 있기에, 예방 조치로 방사능 방호복과 관련 약품을 좀 더 상비할 필요가 있다.
0NO3000049	거대 로봇 전갈을 지속적으로 개선한 결과, 지금까지 "적대적 공산주의 세력"으로 사용했던 프로텍트론 모델이 전혀 쓸모 없게 되었다. 이제는 로봇 전갈에게 아무 위협이 되지 못한다.
0NO3000050	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 난이도 상승을 위해 레이저 함정과 근접 감지기가 추가되었습니다. 성공 시 슈트의 소프트웨어가 자동으로 업데이트 되며, 보급함에 보상이 지급됩니다.
0NO3000053	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 난이도 상승을 위해 레이저 함정이 추가되었습니다. 성공 시 슈트의 소프트웨어가 자동으로 업데이트 되며, 보급함에 보상이 지급됩니다.
0NO3000056	경고 : 현재 단계에서 출력을 최대로 올릴 시 프로토타입이 파손 또는 파괴될 가능성이 있습니다.
0NO3000057	[CRLF]정말로 진행하시겠습니까?
0NO3000058	이 실험에서 당신은 들키지 않고 모든 로봇을 정지 시켜야 합니다. 모든 보안 장치가 가동됩니다. 성공 시, 보급함에 보상이 지급됩니다.
0NO3000061	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 난이도 상승을 위해 레이저 함정과 근접 감지기가 추가되었습니다. 성공 시, 보급함에 보상이 지급됩니다.
0NO3000064	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 난이도 상승을 위해 레이저 함정이 추가되었습니다. 성공 시, 보급함에 보상이 지급됩니다.
0NO3000067	이 실험에서 당신은 순찰 로봇들에게 들키지 않고 관리인 사무실로 잠입하여 문서를 회수해야 합니다. 성공 시, 보급함에 보상이 지급됩니다.
0NO3000070	아인슈타인-3.14
0NO3000071	[CRLF]긴급 종료 프로세스를 실행하게 되면, 프로토타입을 재가동시키는 데 몇 주나 걸릴 거다. 그래도 완전히 날려먹는 것 보다는 낫겠지. (적어도 우리가 요구한 프로토타입 17대가 들어올 때까지는)
0NO3000072	지난번 감독관 회의에서 이 사소한 출하 사고로 인해 얻을 수 있는 이득에 대해 논의했습니다. X-8 시설에서 그것들을 없애기 전에, 우선 우리 실험 구역에 놈들을 풀어서 피실험체의 반응을 연구할까 고려 중입니다. 결정이 내려질 때까지 배달 부서는 폐쇄 상태를 유지하십시오.
0NO3000074	이걸로 이 최신 혈청이 성공작이라는 게 증명됐다. 그 짐승들은 우리가 직접 관찰하는 동안에는 눈에 보이지만, 야간 촬영 기록 일부에서 혈청이 제대로 작용한다는 사실이 드러났다. 그 짐승들은 아무도 없을 때를 노려 새 은신 능력의 사용법을 익히는 듯하다. 아무래도 능력을 사용하는 데에는 신체적 혹은 정신적 한계가 있는 듯, 압박을 받는 상황에서의 능력 사용은 제한되는 것 같다. 월요일 아침 출근하면 맨 먼저 녀석들에게 스트레스 실험을 해봐야겠다.
0NO3000075	Y-17 트라우마 억제복을 양산하기 전에 몇 가지 해결해야 할 사항이 있습니다. 먼저, 억제복을 작동시키는 적절한 부상의 정도를 알아내야 합니다. 뭐, 일단 억제복을 입히면 쉽게 반항하지 못하니 리틀 양쯔의 피실험체들에게 마음껏 실험해 보면 되겠죠. 또한 복귀 장소를 지정하지 않을 경우, 억제복은 무작위로 방황합니다. 그리고 부상 정도를 조정하다가 알아낸 사실인데, 억제복의 센서로는 착용자의 사망 여부를 판단하지 못합니다. 어찌 보면 다행인 게, 자동 시신 회수 기능은 자동 부상 치료 기능만큼이나 유용하지요!
0NO3000076	이 홀로테이프에는 '가브리엘의 짖음' 오디오 샘플이 들어 있다. 싱크의 쥬크박스에서 음파 방사기를 개조하는 데 쓸 수 있다.
0NO3000077	이 홀로테이프에는 '오페라 가수' 오디오 샘플이 들어 있다. 싱크의 쥬크박스에서 음파 방사기를 개조하는 데 쓸 수 있다.
0NO3000078	이 홀로테이프에는 '모비우스의 거대 로봇 전갈' 오디오 샘플이 들어 있다. 싱크의 쥬크박스에서 음파 방사기를 개조하는 데 쓸 수 있다.
0NO3000079	이 홀로테이프에는 '거대 타란튤라의 습격' 오디오 샘플이 들어 있다. 싱크의 쥬크박스에서 음파 방사기를 개조하는 데 쓸 수 있다.
0NO3000080	이 홀로테이프에는 싱크 내 인공지능 중 "생물학 실험 장치"의 인격이 들어 있다.
0NO3000081	이 홀로테이프에는 싱크 내 인공지능 중 "오토닥"의 인격이 들어 있다.
0NO3000082	이 홀로테이프에는 싱크 내 인공지능 중 "쥬크박스"의 인격이 들어 있다.
0NO3000083	이 홀로테이프에는 싱크 내 인공지능 중 "책 생산기"의 인격이 들어 있다.
0NO3000084	이 홀로테이프에는 싱크 내 인공지능 중 "토스터"의 인격이 들어 있다.
0NO3000085	이 홀로테이프에는 싱크 내 인공지능 중 "싱크대"의 인격이 들어 있다.
0NO3000086	이 홀로테이프에는 싱크 내 인공지능 중 "전등 스위치 01"의 인격이 들어 있다.
0NO3000087	이 홀로테이프에는 싱크 내 인공지능 중 "전등 스위치 02"의 인격이 들어 있다.
0NO3000088	이 홀로테이프에는 싱크 내 인공지능 중 "머기"의 인격이 들어 있다.
0NO3000089	이 홀로테이프에는 싱크 내 인공지능 중 "오토닥"의 업그레이드 파일이 들어 있다.
0NO3000094	이 홀로테이프에는 싱크 내 인공지능 중 "책 생산기"의 업그레이드 파일이 들어 있다.
0NO3000095	이 홀로테이프에는 싱크 내 인공지능 중 "싱크대"의 업그레이드 파일이 들어 있다.
0NO3000096	이 홀로테이프에는 싱크 내 인공지능 중 "전등 스위치 01"의 업그레이드 파일이 들어 있다.
0NO3000097	이 홀로테이프에는 싱크 내 인공지능 중 "머기"의 업그레이드 파일이 들어 있다.
0NO3000098	이 홀로테이프에는 흥정 스킬북을 만드는 데 필요한 요소가 들어 있다.
0NO3000099	이 홀로테이프에는 에너지 무기 스킬북을 만드는 데 필요한 요소가 들어 있다.
0NO3000100	이 홀로테이프에는 폭발물 스킬북을 만드는 데 필요한 요소가 들어 있다.
0NO3000101	이 홀로테이프에는 총기 스킬북을 만드는 데 필요한 요소가 들어 있다.
0NO3000102	이 홀로테이프에는 자물쇠 따기 스킬북을 만드는 데 필요한 요소가 들어 있다.
0NO3000103	이 홀로테이프에는 의학 스킬북을 만드는 데 필요한 요소가 들어 있다.
