///Project Nevada	
PJN0000001	Three Shooter
VAN0001042	Let's play a little game... Just to know who's the worst alcoolic.
VAN0001043	Six, do you want something? Try this, it's Isis's special brew.
VAN0001044	Do you wanna try it, Cass?
VAN0001045	So, ladies, check out the sign it's true.
VAN0001046	Actually, those gnomes we hunted... they didn't go by themselves...
VAN0001047	Isis and I, work together. We keep our eyes peeled for high quality loot.
VAN0001048	We stole them! Well actually YOU stole them... But In a wonderfull way.
VAN0001049	So, when she came back home, Isis and I had a talk, about you. If you want, you can work with us.
VAN0001050	Yeah, that's it!
VAN0001051	That's fantastic! Of course you can refuse any mission at any time. So welcome to our little brotherhood!
VAN0001052	Oh before I forget: There is an old building in the canyon  ...
VAN0001053	You know, just next door to Courtney and Peter's home: you can't miss it there is a huge satellite dish on the roof.
VAN0001054	Years ago, a hitman went missing in that building, and rumors has it he was carrying good equipment: good armor and some weapons.
VAN0001055	The place will be infested by goules and other disgusting creatures ... It may be just a myth ...  maybe not.
VAN0001056	We found the building but the doors are locked, so we had to steal the keys.
VAN0001057	Here is the key as a welcome gift.
VAN0001058	And I'll put the address on your PipBoy.
VAN0001059	For your first mission you'll need some intel. But you'll need to see Isis to get it. You'll have to wait until the factory's safe.
VAN0001060	Too bad.  Just grab a matress and take a nap.
VAN0001061	Keep it down, no sudden movements we don't want to scare him off, try to lure him into a dark corner, then grab him.
VAN0001062	Try to lure the gnome behind the tall shelves, the cashier won't see a thing.
VAN0001063	Quiet I see him...  just over there.
VAN0001064	In the cage!
VAN0001066	Don't give them to me .... I don't want to be responsible if they run off again.
VAN0001067	Uh ... I ... uh ... I'd prefer you to hold on to them!
VAN0001068	You're a real pal Six!
VAN0001069	He nailed it.
VAN0001070	She nailed it.
VAN0001071	No I have not seen any mutant here ... Just Vicky, the nighkin.
VAN0001072	Many people come to see Isis you know ...
VAN0001073	She's not here yet, come back later, she may be here.
VAN0001074	Isis is my sister. She runs the bar in front of my house. She was away on business, she just returned.
VAN0001075	Chop chop! I need to wet my whistle!
VAN0001076	Famous? What do you mean?
VAN0001077	Nothing, Isis is my sister.
VAN0001078	All this robbing is bad karma for us.
VAN0001079	Didn't your mother teach you it's wrong to steal.
VAN0001080	My mother taught me to fend for myself in life, it was a lesson well learnt.
VAN0001081	Okay, great! Do you want a cigarette?
VAN0001096	Shhh... we're very stealthy
VAN0001102	Starting combat! {Teasing, singsong}Just kidding!
VAN0001122	All out of Stimpaks
VAN0001133	We're out of Stimpaks. {Quiet, depressed}Maybe you'd be better off with an Auto-Doc suit....
VAN0001141	This is my new home....Do you like it?
VAN0001142	Hurry, I don't like having strangers in my house and Pamela is in a bad mood today...
VAN0001143	[SUCCEEDED] Rrrragg Dirty human ... little piece of shit, I told you to never trust them ... traitors! TRAITORS!
VAN0001144	They're always looking at us with their eyes, they stare at us, they watch us ... They want to analyze us ...
VAN0001145	You want Peter too? That's it? You want Peter?
VAN0001146	Yes I know, Pamela I'm .. I'm just a loser ... I haven't been able to keep him... I will stay alone until the end of my life.
VAN0001147	Aarrrgg !!! Human, disgusting human, with those eyes watching me !! You want him right? You want my Peter? Then take this key and find the lock!
VAN0001148	[FAILED] Stupid human ... little piece of shit, I told you to never trust them ... traitors! TRAITORS!
VAN0001149	[SUCCEEDED] Arrrg Dirty human, always knows just the right words! He's not really kidnapped ... He ...
VAN0001150	No, Vicky can not say anything, Pamela doesn't want it... she said ... she said...
VAN0001151	Pamela says that he will be a good husband, he just needs some time to get ... used to the situation...
VAN0001152	Pamela says men are rare here ...
VAN0001153	[FAILED] Arrrg Dirty human! Get the fuck out of my view!
VAN0001154	A deal? With a human?
VAN0001155	I have nothing to lose I think.. Arrrggg Stupid human.. No..  I .... yes, yes ... Pamela said she agrees.
VAN0001156	A big one please.
VAN0001157	2000 caps.
VAN0001158	[SUCCEEDED] Disgusting dirty human. Hate the habit they have, looking at me with their eyes ... she said ... Pamela said.. arrgg Pamela ..
VAN0001159	Arrrg ok ok, ok ...Pamela says 100 caps and one husband for me.
VAN0001160	[FAILED] Disgusting dirty human. Hate the habit they have, looking at me with their eyes ... she said ... Pamela said.. arrgg Pamela ..
VAN0001161	Pamela says 500 caps and one husband for me.
VAN0001162	Yes Pamela says men are rare here. She says I have to find a husband.
VAN0001163	If you find one and if you bring him to us here, Pamela and I will let you take Peter home.
VAN0001164	A big, blue and sexy one!
VAN0001165	[FAILED] Arrrg disgusting dirty humans. Hate the habit they have, looking at me with their eyes... Pamela Pamela Arrrg ok ok, ok...
VAN0001166	[SUCCEEDED] Arrrg disgusting dirty humans. Hate the habit they have, looking at me with their eyes... Pamela Pamela Arrrg ok ok, ok...
VAN0001167	Pamela says 50 caps and one husband for me.
VAN0001168	It opens ... ggggrrrr Pamela told me that it opens an old building in the canyon ... She says... there is probably a lot of things inside.
VAN0001169	Pamela is never wrong. We will give you this key if you help us.
VAN0001170	We need 4 stealthboys.
VAN0001171	You want a job, this is what we propose.
VAN0001172	Perfect. Go now, human, your eyes makes me feel really uncomfortable.
VAN0001173	Yes, human. surprisingly enough, you did a good job.
VAN0001174	Now I should keep to my word too, here is the basement key, Peter is inside... and forget about the caps... Diego is an amazing gift.
VAN0001175	Don't be too long! I don't like to wait!
VAN0001176	Well he's there, the one with the hair and wandering like a lost soul!
VAN0001177	I recently met a Nighkin he was on the road to Jocob's town.
VAN0001178	So that's very nice, my outfits begin to smell seriously rancid. Thank you.
VAN0001179	Time for some sneaky sneaks!
VAN0001180	Shhhhhh! Be very, very quiet! I'm hunting wabbits!
VAN0001181	Shhhh
VAN0001182	Keep it down.
VAN0001183	Hey, I'm not some pack brahmin, Six!
VAN0001184	I can't hold anymore...
VAN0001185	I'm not a brahmin.
VAN0001187	Mmm...
VAN0001188	Mm... Mmm!
VAN0001189	I don't have any more ammo!
VAN0001190	Shit... I need to take a piss...
VAN0001191	Okay... I need a fucking drink...
VAN0001193	Ok then I'm off to Vegas.
VAN0001194	Damn! You're high as shiiiiit!
VAN0001195	Ok, cool!
VAN0001197	Ok, I'm all over it like a rainbow on an oil slick.
VAN0001198	What the hell is that shit? That s what I'm already doing.
VAN0001200	Dude, make up your mind, are you a sandwhich short of a picnic or what?
VAN0001201	Ok.. Then I'm off
VAN0001202	Ok, cool.
VAN0001204	What's the plan Stan?
VAN0001207	Okidoki, let's roll
VAN0001208	Okay, I'll try that!
VAN0001209	Do you know Vanessa, the Reaper?
VAN0001210	I'll do my best!
VAN0001211	Well... okay!
VAN0001212	Ok, if I have to.
VAN0001213	Just be sure I have some ammo. My own weapons require 5.56 mm and 10 mm.
VAN0001214	That's what I'm talking about.
VAN0001215	Mmh...
VAN0001220	I like the way you die, boy!
VAN0001222	Take that!
VAN0001223	Do they really have to die?
VAN0001224	Let's take out these assholes!
VAN0001225	Get ready to fly, bitch!
VAN0001226	You wanna piss me off?
VAN0001227	Let's go to work!
VAN0001228	Hello, you poor devil!
VAN0001229	Waste of ammo...
VAN0001231	Duty calls!
VAN0001232	This is gonna end in a bloodbath!
VAN0001233	I ain't got time to bleed!
VAN0001234	Say hello to my little friend!
VAN0001235	Let's swim a bit, shall we?
VAN0001236	Look at that clear water!
VAN0001237	Rectification: this is not the Wizard of Oz... This is... I don't know what the hell it is. But, it's asking for a bullet.
VAN0001238	The Legion's crazy. It seems that they have planned a little sordid game.
VAN0001239	Bitter Springs was a big mistake, but what happened here is atrocious... and it was intentional.
VAN0001240	Ah, shit! This is disgusting! I gotta have a shot. I don't wanna puke my guts out!
VAN0001241	What the hell happened here?
VAN0001242	Oh, shit. House finally got lupus... That's just disgusting.
VAN0001243	The Great Khans relocated here after the Bitter Springs Massacre... That's when the NCR killed a large number of non-combatants.
VAN0001244	Hey, Mister Wizard. I wonder what would happen if I leaned on this button...
VAN0001245	If we untie them, they'll die...
VAN0001246	This is horrible!
VAN0001247	HELIOS One was constructed before the war by Poseidon Energy.
VAN0001248	For the past century, Bitter Springs was used by the Great Khans as a semi-permanent community.
VAN0001249	Today, Bitter Springs hosts refugees from settlements that have fallen to Caesar's Legion; a situation that is becoming increasingly untenable...
VAN0001250	There were some recent incursions here, between the NCR and the Brotherhood of Steel... NCR can be a real damn pain sometimes...
VAN0001251	The Big Horn Saloon. Hells, yeah! Let's get a drink!
VAN0001252	Since the Bitter Springs Massacre, the Great Khans have been resorting to petty drug dealings and battles by proxy with the NCR...
VAN0001253	If someone wanted to know what a fish is, there is definitely some here... Just saying.
VAN0001254	Be careful. The road to the west of the cemetery is a dangerous place.
VAN0001255	The Bitter Springs Massacre... all caused by the NCR's 1st Recon, who mistakenly shot down dozens of young, old, and wounded Khans...
VAN0001256	The old world democracy is back...
VAN0001257	Bitter Springs... with a name like that...
VAN0001258	Okay, I need a fucking drink.
VAN0001259	The wasteland can be beautiful and horrible at the same time...
VAN0001260	I have some medicine if the cazadores attack you. Just ask me if you need it.
VAN0001261	I love the Mojave.
VAN0001262	Do you have some whiskey, or something?
VAN0001263	I need a drink. Hey, Six! Did you hear me? I can say that for hours if you don't give me any whiskey! Hey! I'm talking to you!
VAN0001264	Hey, Six. Six. Six? Six! Gimme some whiskey. Gimme some whiskey! Gimme some whiskey right now! Ugh!
VAN0001265	Baby... I need some whiskey in my life. Oh, oh, oh, oh, baby! I cannot live without you, oh whiskey, baby. damn, I'm thirsty, and bored.
VAN0001266	Do you have some whisk... oh, fuck it! I feel like I say that all the time! Just give me some God-damn whiskey, and I'll stop complaining about it!
VAN0001267	Okay, now I need a drink!
VAN0001268	I miss DC... but I love the Mojave.
VAN0001269	I think I'm gonna be sick.
VAN0001270	The Legion's crazy! It seems that they have planned a little sordid game.
VAN0001271	It is here that someone tried to put a bullet in your brain?
VAN0001272	This war totem... Y'know, my mother was from a tribe. Dad always liked savage girls... Must've been because of their exotic beauty or something.
VAN0001273	I need to go wee... Y'know, tinkle...?
VAN0001274	I dream of a hot bath... with bubbles.
VAN0001275	It's so beautiful! I mean, just look at that view!
VAN0001276	Do I have time to bang one of these chicks?
VAN0001277	Uh... uh...
VAN0001278	Tasty... Shit, did I say that out loud?
VAN0001279	All right, ramblers! Let's get rambling!
VAN0001280	Wow. It'is hot in here, don't you think, Six?
VAN0001281	Doc Mitchell is awesome!
VAN0001282	Well, I see a campfire, if we need it.
VAN0001283	I will fall flat on my face...
VAN0001284	Shit, I need to take a piss.
VAN0001285	I'm just plastered...
VAN0001286	Wow! Wait!
VAN0001287	People here were not the best humans we can imagine, but nobody deserves this...
VAN0001288	Goodsprings and its crows... Do you know a pre-war book with a crow named "Nevermore"?
VAN0001289	I smell jet, and some sort of tox... you'll probably find some medicine here.
VAN0001290	It stinks here... or is that me? Oh, phew, no... No, it's not me.
VAN0001291	Take care with House. A guy in a screen who needs a sex-bot is hardly trustable...
VAN0001292	I love this place!
VAN0001293	Its betta than safe, its death proof
VAN0001294	I've seen another guy in a screen, in DC... the Enclave... Not a great memory!
VAN0001295	I can't believe I'm in the Lucky 38!
VAN0001296	I never thought I'd be here one day. It's incredible!
VAN0001297	If you go to Nellis, take this rocket souvenir with you. I hear the kids there like them.
VAN0001298	This "House" is probably an asshole, but this flat is awesome!
VAN0001299	This" House" has some real good arguments to convince you, I confess...
VAN0001300	The real Wizard of Oz! Awesome! So... Okay. Where is the bar?
VAN0001301	You have a new friend. A guy... in a box. That's great.
VAN0001302	It smells like weird fried meat...
VAN0001303	Kids here like toys.
VAN0001304	Take care here. You could be smashed in one second!
VAN0001305	I hate these animals. They're not a dog nor a gecko. It's just too weird!
VAN0001306	I like coyotes... I don't like to kill them.
VAN0001307	I smell a deathclaw...
VAN0001308	It smells like there are ants in here... Stay alert!
VAN0001309	The Kings... They keep the water for themselves. If you want to buy some, it's really expensive.
VAN0001310	It's not a giant gecko. It's probably a tyrannosaur.
VAN0001311	I think the kids would love your rocket souvenir.
VAN0001312	I love that giant dino.
VAN0001313	Dinky, the Dino!
VAN0001314	The NCR made a big mistake in Bitter Springs. It's time they atone for their acts.
VAN0001315	Nice painting...
VAN0001316	What a cute place!
VAN0001317	Atop of this hill is a longhouse where Papa Khan, leader of the Great Khans, holds "court," so to speak.
VAN0001318	You've been amazing!
VAN0001319	New Vegas at night is like nothing else!
VAN0001320	The Khans were a rude gang, but now they've changed.
VAN0001321	There is a nice super mutant here.
VAN0001322	What a beautiful place!
VAN0001323	This place was a vacancy station in the Old World.
VAN0001324	The Red Rock Canyon. I love this place! Just so beautiful...
VAN0001325	If we could kindly move out of here... I hate this place.
VAN0001326	I hate this place. It smells like jet, psycho, and tox rolled into a nasty-ass joint.
VAN0001327	If we could kindly move on outta here now...? I hate this place.
VAN0001328	If you want to go inside one of these casinos, keep a hidden weapon on you... you never know!
VAN0001329	Watch your caps. They go quick here!
VAN0001330	It stinks in here! Or is that me? Oh, no, it's not me!
VAN0001331	It smells bad in here.
VAN0001332	Look at these slaves. It's a real shame.
VAN0001333	The Legion...
VAN0001334	These guys are a bunch of frustrated misogynists.
VAN0001335	This place is just freakin' creepy.
VAN0001336	There is everything we need here!
VAN0001337	Look at that! We can see all of the Mojave from here!
VAN0001338	This place should be open to public! What an amazing potential! I think your Wizard... I mean... Mr. House, is definitely looking for something else.
VAN0001339	Let's get a drink. So, what do you want? Whiskey? Vodka? God, there's everything in here!
VAN0001340	Hey Barkeep!! Get yer ass back over here, I want scotch!!
VAN0001341	This House has some real good arguments to convince you, i confess...
VAN0001342	They keep the water for themselves. If you want to buy some, it's really expensive.
VAN0001343	Freeside... The King... that place is more violent than ever!
VAN0001344	Just be sure I have some ammo.
VAN0001345	Of course Sir.
VAN0001346	Of course Madame.
VAN0001347	Maybe actually. I need some eggs.
VAN0001348	Could you find Billy in Poseidon's Ring and ask her if she kept some eggs left for me, please?
VAN0001349	Thank you, I'll cook something for you!
VAN0001350	Take care of my stuff!
VAN0001351	Depends on the question.
VAN0001352	I'm not sure that's your business...
VAN0001353	Stop it!<Karma>
VAN0001354	Don't you ever talk to me like that again!<Karma>
VAN0001355	Let's trade equipment!
VAN0001356	You can also give me some food. If I'm not in combat, I'll heal myself.
VAN0001357	Hey! Ugh! Ah well
VAN0001358	What's yours is mine.
VAN0001360	Hand it over.
VAN0001362	Hehehe, of course!
VAN0001363	Oh, your video card probably can't handle my jewelry. Here, I'll take 'em off.
VAN0001364	Croa!
VAN0001366	Excellent
VAN0001367	Stop being such a pussy.
VAN0001370	Let's go
VAN0001371	Oh, yes.
VAN0001374	Okay. Don't forget the whiskey!
VAN0001375	Okay, but be careful. I can't heal you all the time!
VAN0001376	Okay. Now, where is the bar?
VAN0001380	Croaw
VAN0001381	Come back if you need anything else.
VAN0001383	Take care, a good customer is a customer alive!
VAN0001384	Have a nice day in the canyon!
VAN0001385	Yeah yeah..
VAN0001386	Yeah, stranger? What do you need?
VAN0001387	Yes, stranger? Do you need something?
VAN0001388	What's up, Six?
VAN0001389	Isn't it fine to chill out with me? Huh, Six?
VAN0001390	Hey Regis, let's play a game!
VAN0001391	Let's go Regis!
VAN0001392	I like your hair!
VAN0001393	What's up Vanessa?
VAN0001394	Hi Vanessa!
VAN0001395	What's up Sid?
VAN0001396	Hey Cass! How are you?
VAN0001397	Hi Veronica, what's up?
VAN0001398	Hi Rex! Good boy!
VAN0001399	Hey Raul! What's up?
VAN0001400	Six, thank you for giving me back my Peter!
VAN0001401	I will never forget what you made for us.
VAN0001402	Thx again for what you did, you're a real friend.
VAN0001403	Hey Six, my friend, what's up?
VAN0001404	You're a real friend, Six.
VAN0001405	Are you drunk? It's me!
VAN0001407	Oh, don't look at me like that. What do you need?
VAN0001408	Is that a pistol in your pocket, or are you happy to see me?
VAN0001409	I told you to change, but you're definitely a degenerate son of a bitch!
VAN0001410	A cap for your thoughts?
VAN0001411	Some assholes are shooting at us... Just saying...
VAN0001412	This is really nice!
VAN0001413	You know, I like the Atomic Wrangler. For people looking for a little peace and quiet, this is an ideal place!
VAN0001414	The NCR seems to like you... Maybe you're right, they can help. But keep your head level, okay?
VAN0001415	Victor... This little robot is obviously hiding something. We need learn what it is, soon.
VAN0001416	Whoa! It's the monorail to the Strip!
VAN0001417	The Legion is calling you, right? We should use them, and when they're yours... you kill them all! These assholes deserve it. Show ‘em no mercy, Six.
VAN0001418	Well, that was... intense as fuck. It was awesome!
VAN0001419	At least we're still alive.
VAN0001420	At least we made it another day!
VAN0001421	Can't you see I'm very busy doing... nothing? Wait... haven't I said that before somewhere...? Ah, nevermind.
VAN0001422	You know I love chatting with you, but do you really think this is the best moment?
VAN0001423	It's not the best moment to flirt with me...
VAN0001424	You smell like jet... or psycho, or some of  that shit...
VAN0001425	Are you drunk? I can smell the whiskey from here!
VAN0001426	Your breath is getting me drunk...
VAN0001427	Okay, we're both drunk as hell!
VAN0001428	Great, you're back!
VAN0001429	Shall we go?
VAN0001430	As you can see, I'm very busy doing... nothing.
VAN0001431	Oh, dammit! What?! Can't you see we're hunting shitheads?
VAN0001432	What? We're fighting now, not drinking tea with your grandma!
VAN0001433	Uhh?
VAN0001436	Amazing, but what do i see here? Some sick people!
VAN0001437	Hi
VAN0001438	Bonjour?
VAN0001439	Hello sweat heart.
VAN0001441	Hey cool weapons!
VAN0001443	Glade to see you, how are you?
VAN0001444	Glade to see you, are you here to buy some eggs?
VAN0001445	Hey you again!
VAN0001446	Do you want to play with me?
VAN0001447	Nevermore is doing her job. And it's because of you, thank you again.
VAN0001448	Did you see Nevermore?
VAN0001449	Hey, you're back, thank you for Nevermore! You're awsome!
VAN0001450	Hey how are you? want to buy some eggs?
VAN0001451	Hey, are you hungry?
VAN0001452	Hey, how are you? Did you bring the eggs to Pansea?
VAN0001453	Hey, what's up? Did you bring the eggs to Pansea?
VAN0001454	Welcome stranger, what can I serve you?
VAN0001455	Hi, what can I serve you?
VAN0001456	Hi, what can I do for you today?
VAN0001457	Welcome to the common house stranger.
VAN0001458	Don't look at me like that!
VAN0001459	Hello! I'm not even going to ask you what you're doing here, your face speaks for you! The road has been difficult, has it not?
VAN0001460	Do you have news of Peter?
VAN0001461	Hey my friend, how are you?
VAN0001462	Oh some visitors! What can I do for you?
VAN0001463	But who is this here? That dear gecko hunter! Do you have the skins?
VAN0001464	My favourit gecko hunter!
VAN0001465	Here, some coffee.
VAN0001466	Hello! So, did you turn this zombies into dead meat?
VAN0001467	Hi, are this zombies dead, I mean really dead?
VAN0001468	Hello! What about the little things I asked you?
VAN0001469	Welcome to Canyon Park! I hope you enjoy your stay in our "Dino Special" suite.
VAN0001470	And I'm sure there is something special you're expecting!Oh yea? And what's that, pray tell?
VAN0001471	Welcome Sir.
VAN0001472	Welcome Madame.
VAN0001474	Fucking humans! Always take you by surprise! What you got? What are you looking at?
VAN0001475	Hey, you, could help me please?
VAN0001476	Take one piece of cheese.
VAN0001478	You are frozen!
VAN0001479	Vanessa is gone to GoodSprings, Prospector Saloon.
VAN0001480	Activate Campfire
VAN0001481	Unactive Campfire
VAN0001482	Show Campfire Recipes
VAN0001483	Cook :)
VAN0001485	Vanessa's Bag will make you stronger!
VAN0001486	Vanessa added spell Ferocious Loyalty!
VAN0001487	Let's fly!
VAN0001488	Stop Fly
VAN0001489	Thx Booba! Your charism & Your Lockpick Skill has increased!
VAN0001490	You seem less Charismatic... You miss Booba...
VAN0001491	Vanessa knows how to be persuasive: Free water today!
VAN0001492	Blow your mind!
VAN0001493	Brandt Auto-Doc. Obselete.
VAN0001494	##%% *crypted*##FuCkIt**
VAN0001495	Go to the toilets.
VAN0001496	Take a sit please, follow the arrow!
VAN0001497	Vanessa is gone to the L38.
VAN0001498	What a charismatic person you are!
VAN0001499	You seem less charismatic...
VAN0001500	Vanessa didn't show anything ... but she was sad.
VAN0001501	But as you didn't lie to her, she respects you.
VAN0001502	You'll find some new options in her dialogues menu.
VAN0001503	The Anarchist CookBook, first published in 1971, is a book that contain instructions for the manufacture of explosives, rudimentary telecommunications phreaking devices, and other items. The book also includes instructions for home manufacturing of illucit drugs, including LSD. It was written by William Powell at the apex of the counterculture era in order to protest United States Involvement in the Vietnam War.
VAN0001504	Give that book to Vanessa and let it in her inventory, maybe it could increase some of her skills and capacities if she reads it, after all, her friend Jessy, gave her some tips in DC... ;)
VAN0001505	Remove the Rug
VAN0001506	Hide the door
VAN0001508	Inside this book, you find an note from Vanessa about her dad:
VAN0001509	Dad claimed his father named him after his favorite comic book character, Proinsias Cassidy, an Irish vampire from this comic book series preacher", created by Gath Enis and Steve Dillon."
VAN0001510	The Saloon is temporary closed, come back later.
VAN0001511	Isis
VAN0001512	Vanessa needs 6 whiskeys, 6 stimpacks, 6 MedX, come back when you have them!
VAN0001513	You get a message from Sid in you PipBoy!
VAN0001514	Congrate: You just added the Wilder Wasteland perk!
VAN0001515	With Vanessa, your fallout experience will be a bit more goofy than usual.
VAN0001516	Vanessa can now play guitar!
VAN0001517	As long as the guitar is in her inventory, of course!
VAN0001518	Go to:  Menu/questions/can you play
VAN0001519	Vanessa is saved, thx you :)
VAN0001520	Music!
VAN0001521	Your karma is too low. Take your stuff, Vanessa leaves you.
VAN0001522	You need 2 Special C-4 Plastic Explosive
VAN0001523	Activate the switch
VAN0001524	You can't use it at the moment.
VAN0001525	A key is required
VAN0001526	You lost endurance... You Miss Carcass...
VAN0001527	Thx Carcass! Your Endurance & Your Medicine Skill has increased!
VAN0001528	Place Bed
VAN0001529	Remove Bed
VAN0001530	Enable Snow Globes
VAN0001531	Disable Snow Globes
VAN0001532	Lights
VAN0001533	No Light
VAN0001534	Vanessa is gone to her tent, Red Rock Canyon.
VAN0001535	Once Upon A Time,
VAN0001536	A nice bear mum lost her 12 babies.
VAN0001537	People say we can hear them crying in the night.
VAN0001538	Please, Find her 12 babies.
VAN0001539	Vanessa: Poison Removed!
VAN0001540	Vanessa's Teddy will make you stronger!
VAN0001541	Hit me!
VAN0001542	Place Beds
VAN0001543	Remove Beds
VAN0001544	One day I found a big book buried deep in the ground. I opened it but all the pages were blank.
VAN0001545	Now Vanessa and you are friends:
VAN0001546	You can acces to a part of her apparel menu and she can heal you!
VAN0001547	That's weird, I already saw that book when I was on drug...
VAN0001548	It's exactly the same bottle of potion than in my dream.
VAN0001549	Billy the kid is definitly involved in the creation of the potion I drunk.
VAN0001554	You fixed the radio.
VAN0001556	Place the thread spools and the scissors
VAN0001571	Sidney: Poison Removed!
VAN0001572	Vanessa likes you more now.
VAN0001573	You can acces to all her apparel menu and some other functions!
VAN0001574	All Lights
VAN0001575	That wall can be destroyed. Maybe with some C4.
VAN0001576	Vanessa won't craft if she is in combat mode.
VAN0001577	The campfire you have activated is incompatible with this mod.
VAN0001578	Cook Something
VAN0001579	Break Camp
VAN0001581	Vanessa is Dead!
VAN0001582	Vanessa can't follower you into Vault 87.
VAN0001583	She's waiting by the escape hatch for you.
VAN0001584	Lucky 8 Ball! Your chance has increased!
VAN0001585	You seem less lucky...
VAN0001586	For a minute Rose of Sharon sat still in the whispering barn. Then she hoisted her tired body up and drew the comfort about her. She moved slowly to the corner and stood looking down at the wasted face, into the wide, frightened eyes. Then slowly she lay down beside him. He shook his head slowly from side to side. Rose of Sharon loosened one side of the blanket and bared her breast. You got to," she said. She squirmed closer and pulled his head close, "There!" she said. "There." Her hand moved behind his head and supported it. Her fingers moved gently in his hair. She looked up and across the barn, and her lips came together and smiled mysteriously."    John Steinbeck.
VAN0001587	Disable Walls
VAN0001588	Enable Walls
VAN0001590	Activate Pink Light
VAN0001591	Activate Red Light
VAN0001592	Activate Blue Light
VAN0001593	Activate Violet Light
VAN0001594	Activate Yellow Light
VAN0001595	Activate White Light
VAN0001596	Activate Bubbles
VAN0001597	No Bubble
VAN0001598	Activate Dust
VAN0001599	No Dust
VAN0001600	AVAILABLE at Cerulean Robotics
VAN0001601	ROBOT RV612THD K68 2B //// ON TEST
VAN0001602	Specialisation: Heart Surgery & Breast Implants
VAN0001603	Doc Mengelele PROTOTYPE BLOCK 10
VAN0001604	German Quality Production
VAN0001605	Table
VAN0001606	Buena Vista
VAN0001607	Vanessa's G 36c
VAN0001608	Klaxon
VAN0001609	Dino Canyon
VAN0001610	Sidney Sit When Player Do
VAN0001611	Vanessa: Troubles by the score
VAN0001613	Clothes Shop
VAN0001614	Vanessa's Heart Diease
VAN0001616	Vanessa's Gater FS
VAN0001617	Vanessa's Underwear FS
VAN0001618	Poseidon Cave
VAN0001619	Vanessa Guitar
VAN0001620	Vanessa: The lost Guitar
VAN0001621	Vanessa: The Wild One
VAN0001622	The wild one
VAN0001623	Lamp
VAN0001625	Buena Vista Factories
VAN0001626	WareHouse Key
VAN0001627	Vanessa
VAN0001628	Dinkies Safe
VAN0001629	Dinkies Safe Key
VAN0001630	Pony Cow Boy
VAN0001631	Vanessa's Isis Necklace
VAN0001633	Vanessa's SunGlasses
VAN0001634	Vanessa's Google
VAN0001635	Leon's Beretta
VAN0001636	TES Box
VAN0001637	Vanessa's Stealth Weyland Yutani
VAN0001638	Dino
VAN0001639	Vanessa: Increase her Guns Skills!
VAN0001640	Mathilda
VAN0001641	Leon's SunGlasses
VAN0001642	Vanessa's The Anarchist CookBook
VAN0001643	The Anarchist CookBook
VAN0001646	Classroom
VAN0001647	Moonshine Distillery
VAN0001648	Vanessa: Kid's collection.
VAN0001649	Vanessa is gone.
VAN0001651	Aristote's Cheese Bocal
VAN0001652	Shopping Center
VAN0001653	Vanessa's Monarch Wings
VAN0001656	Vanessa's Bear Hat
VAN0001658	Hall
VAN0001659	Vanessa: A lettre from DC
VAN0001662	Vanessa's Wonderwoman Circlet
VAN0001663	Vanessa's Raven
VAN0001664	Bloc 10
VAN0001665	Smaelle
VAN0001668	Doc Mengelele
VAN0001669	Building
VAN0001670	Butchery
VAN0001671	Vanessa's Raider Armor
VAN0001672	Vanessa: Tale of the bears
VAN0001673	Tale of the bears
VAN0001674	Vanessa's Mattress
VAN0001675	Tales Of the Crying Bears
VAN0001676	Machine Room
VAN0001677	Vanessa's Bucket Helmet
VAN0001678	Vanessa's Crate Sunset Helmet
VAN0001679	Vanessa's New Heart
VAN0001680	Duck
VAN0001681	Vanessa's Lampshade Nuka Helmet
VAN0001682	Vanessa's Pot Helmet
VAN0001683	Vanessa's Lamp shade Helmet
VAN0001684	Chapel
VAN0001685	Industrial Maze
VAN0001688	Buena Vista Cave
VAN0001689	Vanessa's Gecko Noodle
VAN0001693	Poseidon's Liquor Store
VAN0001694	Vanessa's Gnome
VAN0001695	Vanessa Sit When Player Do
VAN0001696	Hallway
VAN0001697	Vanessa Lincoln's repeater
VAN0001698	Room
VAN0001699	Barrack
VAN0001701	Pawn Shop
VAN0001702	Vanessa Is Safe Now !
VAN0001706	Monarch Trigger
VAN0001708	Vanessa's bear Bag
VAN0001709	Vanessa: Animal pest control
VAN0001711	Vanessa's Keffieh
VAN0001712	Vanessa 8 Balls Inventory transfere
VAN0001714	Kid's Safe Key
VAN0001716	Vanessa Loves That
VAN0001717	Tent
VAN0001720	Vanessa's PreacherCassidy
VAN0001721	Vanessa's Salade
VAN0001722	Vanessa's Bighorner Stew
VAN0001723	Teddy Collection Box
VAN0001724	FOOD-E
VAN0001725	Vanessa: Dear Jessy
VAN0001726	Vanessa's Stew
VAN0001728	Vendor Chest Food-E
VAN0001730	Vanessa's Rattle
VAN0001731	Canyon's Radio Eyebot
VAN0001733	Vanessa's Rocket Grenade
VAN0001735	Vanessa safe for item
VAN0001736	Miners Cove Tent 2 Key
VAN0001737	Campus
VAN0001740	Vanessa: Heart Shaped Box
VAN0001742	Vanessa's Vegetable Stew
VAN0001743	Atelier
VAN0001744	Vanessa's Buena Vista Key
VAN0001745	Brandt Auto-Doc
VAN0001747	A guy
VAN0001748	Baby Bighorner
VAN0001749	Mobilhome
VAN0001750	Vanessa's Badlands Armor
VAN0001751	Vanessa's Glace
VAN0001752	Vanessa's Molotov
VAN0001753	Once upon a time...
